Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1538418856713,2087824759812704,0.07457078,-0.020240642,0.011718267
android.sensor.gyroscope,1538418856713,2087824779472758,0.03728539,-0.01065297,0.0042611877
android.sensor.gyroscope,1538418856729,2087824799258801,-0.0085223755,-0.009587673,0.005326485
android.sensor.gyroscope,1538418856748,2087824819165314,-0.0085223755,0.009587673,0.0042611877
android.sensor.gyroscope,1538418856769,2087824839281357,0.0074570784,-0.0063917814,-0.0010652969
android.sensor.gyroscope,1538418856785,2087824858905474,0.011718267,-0.0074570784,-0.0063917814
android.sensor.gyroscope,1538418856806,2087824878961882,0.0074570784,0.023436533,0.0074570784
android.sensor.gyroscope,1538418856826,2087824898730061,0.012783563,0.0074570784,0.0074570784
android.sensor.gyroscope,1538418856847,2087824918745480,0.031958908,-0.0021305939,0.0042611877
android.sensor.gyroscope,1538418856867,2087824938507773,0.033024207,-0.022371236,-0.0063917814
android.sensor.gyroscope,1538418856886,2087824958567359,0.025567126,-0.022371236,0.0
android.sensor.gyroscope,1538418856905,2087824978254132,0.017044751,-0.0085223755,-0.0021305939
android.sensor.gyroscope,1538418856926,2087824998399811,0.015979454,0.0074570784,-0.0042611877
android.sensor.gyroscope,1538418856946,2087825018173250,0.015979454,0.054330144,0.02769772
android.sensor.gyroscope,1538418856966,2087825038177627,-0.028763017,0.029828314,0.03089361
android.sensor.gyroscope,1538418856985,2087825057899608,-0.03728539,-0.02769772,-0.0042611877
android.sensor.gyroscope,1538418857006,2087825078070496,0.012783563,-0.08735435,-0.04261188
android.sensor.gyroscope,1538418857026,2087825097669664,0.053264845,-0.031958908,-0.023436533
android.sensor.gyroscope,1538418857046,2087825117755187,0.04154658,0.039415985,0.017044751
android.sensor.gyroscope,1538418857065,2087825137441752,-0.0031958907,0.04154658,0.022371236
android.sensor.gyroscope,1538418857085,2087825157447899,-0.018110048,-0.005326485,0.0085223755
android.sensor.gyroscope,1538418857105,2087825177225401,0.03089361,-0.023436533,-0.0085223755
android.sensor.gyroscope,1538418857125,2087825197304830,0.06178722,-0.02130594,-0.011718267
android.sensor.gyroscope,1538418857146,2087825216892176,0.046873067,0.0042611877,-0.0021305939
android.sensor.gyroscope,1538418857166,2087825237111605,-0.005326485,0.0010652969,-0.0063917814
android.sensor.gyroscope,1538418857186,2087825256826972,-0.0085223755,-0.01065297,-0.0010652969
android.sensor.gyroscope,1538418857206,2087825276883224,0.022371236,-0.0031958907,-0.0085223755
android.sensor.gyroscope,1538418857225,2087825296329945,0.02769772,-0.014914157,-0.019175345
