Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1538418271314,2087239359843450,9.543288,-1.4796166,1.7046716
android.sensor.accelerometer,1538418271314,2087239380016733,9.677363,-1.3982137,1.4748282
android.sensor.accelerometer,1538418271328,2087239399869340,9.734824,-1.4413095,1.508347
android.sensor.accelerometer,1538418271347,2087239419741581,9.706094,-1.4556746,1.6184803
android.sensor.accelerometer,1538418271369,2087239439554656,9.710882,-1.4173675,1.8339585
android.sensor.accelerometer,1538418271387,2087239459499085,9.629479,-1.3934253,1.685518
android.sensor.accelerometer,1538418271407,2087239479403931,9.672575,-1.340753,1.5035586
android.sensor.accelerometer,1538418271428,2087239499219818,9.730036,-1.340753,1.508347
android.sensor.accelerometer,1538418271446,2087239519091539,9.758766,-1.364695,1.5993267
android.sensor.accelerometer,1538418271467,2087239538874770,9.730036,-1.4269443,1.7764976
android.sensor.accelerometer,1538418271486,2087239558769564,9.653421,-1.388637,1.9297266
android.sensor.accelerometer,1538418271506,2087239578628003,9.9790325,-1.3024458,1.6807296
android.sensor.accelerometer,1538418271529,2087239598684099,10.132261,-1.436521,1.5370775
android.sensor.accelerometer,1538418271549,2087239618692695,9.792285,-1.4077905,1.541866
android.sensor.accelerometer,1538418271567,2087239638572853,9.461885,-1.388637,1.8339585
android.sensor.accelerometer,1538418271587,2087239658445355,9.160215,-1.3599066,1.934515
android.sensor.accelerometer,1538418271607,2087239678333586,9.294291,-1.4077905,1.9057846
android.sensor.accelerometer,1538418271627,2087239698306088,9.725247,-1.3024458,1.7429788
android.sensor.accelerometer,1538418271647,2087239718313382,9.907207,-1.2976574,1.5658079
android.sensor.accelerometer,1538418271666,2087239738167342,9.816227,-1.3215994,1.7238252
android.sensor.accelerometer,1538418271685,2087239757720313,9.940725,-1.4939818,2.1021092
android.sensor.accelerometer,1538418271716,2087239777865159,9.744401,-1.283292,1.9680338
android.sensor.accelerometer,1538418271725,2087239797611879,9.615114,-1.2545617,1.6089035
android.sensor.accelerometer,1538418271747,2087239817692819,9.394848,-1.2497733,1.5897499
android.sensor.accelerometer,1538418271766,2087239837580373,9.696517,-1.3263878,1.8483237
