Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1538418248513,2087216547488989,-0.023436533,0.053264845,-0.043677174
android.sensor.gyroscope,1538418248513,2087216567158366,-0.018110048,0.03728539,-0.0063917814
android.sensor.gyroscope,1538418248529,2087216587059150,0.03728539,-0.043677174,0.0085223755
android.sensor.gyroscope,1538418248534,2087216606988735,0.06285252,-0.12463974,0.0063917814
android.sensor.gyroscope,1538418248554,2087216626934414,0.063917816,-0.068179004,0.0063917814
android.sensor.gyroscope,1538418248573,2087216646885197,0.04154658,0.04900366,0.015979454
android.sensor.gyroscope,1538418248594,2087216666744522,0.028763017,0.07563608,-0.0021305939
android.sensor.gyroscope,1538418248614,2087216686634732,0.023436533,0.050068956,-0.033024207
android.sensor.gyroscope,1538418248633,2087216706544995,0.0042611877,0.028763017,-0.033024207
android.sensor.gyroscope,1538418248656,2087216726478747,-0.012783563,-0.012783563,-0.014914157
android.sensor.gyroscope,1538418248673,2087216746155207,-0.0031958907,-0.054330144,0.0
android.sensor.gyroscope,1538418248693,2087216766052761,0.0074570784,-0.039415985,-0.005326485
android.sensor.gyroscope,1538418248713,2087216786078909,-0.015979454,0.017044751,0.0010652969
android.sensor.gyroscope,1538418248734,2087216805864744,-0.015979454,0.03728539,0.03835069
android.sensor.gyroscope,1538418248754,2087216825809382,0.043677174,-0.03089361,0.07137489
android.sensor.gyroscope,1538418248773,2087216845603550,0.07137489,-0.09055024,0.04154658
android.sensor.gyroscope,1538418248794,2087216865502094,0.03835069,-0.10120321,0.0010652969
android.sensor.gyroscope,1538418248814,2087216885402200,0.005326485,-0.08309316,-0.0010652969
android.sensor.gyroscope,1538418248834,2087216905310588,0.04261188,-0.0692443,0.01065297
android.sensor.gyroscope,1538418248854,2087216925316058,0.09374613,-0.05646074,0.018110048
android.sensor.gyroscope,1538418248875,2087216945046789,0.09907261,-0.064983115,0.03089361
android.sensor.gyroscope,1538418248894,2087216965205021,0.11824796,-0.11079088,0.059656627
android.sensor.gyroscope,1538418248913,2087216985269919,0.16192514,-0.24501829,0.1022685
android.sensor.gyroscope,1538418248933,2087217004996118,0.4133352,-0.5944357,0.15659864
android.sensor.gyroscope,1538418248955,2087217025060131,0.77873206,-0.721206,0.22264706
android.sensor.gyroscope,1538418248974,2087217045052112,0.8692823,-0.5859133,0.24501829
android.sensor.gyroscope,1538418248992,2087217064647114,0.85117227,-0.3483521,0.3462215
android.sensor.gyroscope,1538418249013,2087217084738730,0.82560515,-0.21945117,0.40055165
android.sensor.gyroscope,1538418249033,2087217104168680,0.9246777,-0.175774,0.351548
android.sensor.gyroscope,1538418249057,2087217126181547,1.13028,-0.2087982,0.34302562
android.sensor.gyroscope,1538418249076,2087217146112122,1.2442669,-0.19601464,0.33556855
android.sensor.gyroscope,1538418249095,2087217165966082,1.3635801,-0.018110048,0.30893612
android.sensor.gyroscope,1538418249114,2087217185918845,1.4179102,0.25034478,0.30254433
android.sensor.gyroscope,1538418249134,2087217205745045,1.4221714,0.54543203,0.33876443
android.sensor.gyroscope,1538418249155,2087217225616244,1.4413468,0.7691444,0.42611876
android.sensor.gyroscope,1538418249176,2087217245523017,1.3710371,0.60934985,0.41013932
android.sensor.gyroscope,1538418249192,2087217263753436,1.3294905,0.25247538,0.3494174
android.sensor.gyroscope,1538418249213,2087217285324584,1.277291,0.088419646,0.312132
android.sensor.gyroscope,1538418249233,2087217305196252,1.0535786,0.14381509,0.19494934
android.sensor.gyroscope,1538418249254,2087217325117973,0.6935083,0.21838588,0.08415846
android.sensor.gyroscope,1538418249274,2087217344823131,0.2119941,0.25354066,0.033024207
android.sensor.gyroscope,1538418249293,2087217364320633,-0.29934844,0.22797355,0.08202787
android.sensor.gyroscope,1538418249314,2087217383467250,-0.506016,0.4175964,0.16299044
android.sensor.gyroscope,1538418249334,2087217405154648,-0.6200028,0.419727,0.12144385
android.sensor.gyroscope,1538418249350,2087217422745222,-1.14839,0.31319728,-0.020240642
android.sensor.gyroscope,1538418249369,2087217442524027,-2.024064,0.36965802,0.0085223755
android.sensor.gyroscope,1538418249391,2087217462491737,-2.9689825,0.5976316,0.08522376
android.sensor.gyroscope,1538418249412,2087217484092208,-3.6465113,0.77873206,-0.029828314
android.sensor.gyroscope,1538418249437,2087217504053303,-4.382632,0.54223615,-0.4847101
android.sensor.gyroscope,1538418249451,2087217522291170,-5.507585,0.22690825,-0.96409374
android.sensor.gyroscope,1538418249472,2087217543846380,-7.1012692,0.24501829,-1.0684928
android.sensor.gyroscope,1538418249490,2087217562059872,-8.472306,-0.057526033,-1.0418605
android.sensor.gyroscope,1538418249511,2087217581949040,-9.109354,-0.74357724,-1.1792837
android.sensor.gyroscope,1538418249532,2087217603517167,-9.725096,-1.7577399,-1.3998002
android.sensor.gyroscope,1538418249554,2087217623429878,-10.923554,-3.7519758,-1.2996622
android.sensor.gyroscope,1538418249572,2087217643298213,-13.414219,-4.0662384,-1.2517239
android.sensor.gyroscope,1538418249591,2087217661552590,-16.180796,-1.9718646,-2.191316
android.sensor.gyroscope,1538418249612,2087217682998269,-18.757748,0.43996763,-3.871289
android.sensor.gyroscope,1538418249632,2087217702910094,-20.239576,3.4174726,-5.7877584
android.sensor.gyroscope,1538418249653,2087217722910252,-19.466171,5.0271363,-7.153469
android.sensor.gyroscope,1538418249674,2087217742748952,-13.890407,1.5723783,-6.3683453
android.sensor.gyroscope,1538418249690,2087217762625308,-8.685366,-2.7367477,-5.370162
