Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1538418838992,2087807029331719,-3.2513258,8.968679,-1.4317327
android.sensor.accelerometer,1538418838992,2087807049043388,-3.5577838,8.968679,-1.3742718
android.sensor.accelerometer,1538418839002,2087807068931671,-3.7205894,8.858546,-1.7908629
android.sensor.accelerometer,1538418839015,2087807088804902,-3.572149,8.7771435,-1.8243817
android.sensor.accelerometer,1538418839036,2087807108881363,-3.6008794,8.767567,-1.5514427
android.sensor.accelerometer,1538418839055,2087807128456052,-3.6822822,8.614338,-1.4700398
android.sensor.accelerometer,1538418839075,2087807148712565,-3.7205894,8.652645,-1.661576
android.sensor.accelerometer,1538418839095,2087807168429806,-3.8738184,8.7532015,-1.757344
android.sensor.accelerometer,1538418839117,2087807188701996,-3.8163576,8.781932,-1.7621324
android.sensor.accelerometer,1538418839135,2087807208205018,-3.7301662,8.868123,-1.7046716
android.sensor.accelerometer,1538418839155,2087807228281323,-3.6535518,9.02614,-2.0159178
android.sensor.accelerometer,1538418839175,2087807247981689,-3.572149,9.212888,-1.9393034
android.sensor.accelerometer,1538418839197,2087807268035076,-3.2609026,9.442732,-1.5705963
android.sensor.accelerometer,1538418839216,2087807287529714,-2.2840683,10.060435,-1.3455414
android.sensor.accelerometer,1538418839236,2087807307903622,-1.1252748,11.200075,-0.5602432
android.sensor.accelerometer,1538418839256,2087807327366489,-0.31124622,11.827356,0.40701428
android.sensor.accelerometer,1538418839275,2087807347630814,0.33997664,11.81778,1.3455414
android.sensor.accelerometer,1538418839295,2087807367079566,1.4700398,11.860875,2.6240451
android.sensor.accelerometer,1538418839316,2087807387150349,2.087744,11.712435,4.1132383
android.sensor.accelerometer,1538418839334,2087807406869569,2.27928,10.43872,5.161899
android.sensor.accelerometer,1538418839387,2087807426970301,3.193865,8.298303,5.568913
android.sensor.accelerometer,1538418839387,2087807446650198,4.414908,6.397307,5.8322754
android.sensor.accelerometer,1538418839394,2087807466824523,3.3997664,4.4244847,3.9552212
android.sensor.accelerometer,1538418839413,2087807486508067,1.5035586,2.135628,2.585738
android.sensor.accelerometer,1538418839434,2087807506579892,0.19153613,-0.4405331,2.0494366
android.sensor.accelerometer,1538418839456,2087807526337915,-1.292869,-3.0262709,2.72939
android.sensor.accelerometer,1538418839473,2087807546371354,-1.3263878,-5.1140146,4.0653543
android.sensor.accelerometer,1538418839494,2087807566105679,-2.96881,-7.5561004,4.19943
android.sensor.accelerometer,1538418839513,2087807586170421,-4.6686935,-10.089166,4.4244847
android.sensor.accelerometer,1538418839533,2087807605867089,-5.511452,-12.425907,5.544971
android.sensor.accelerometer,1538418839554,2087807625790477,-6.885724,-14.30775,6.215348
android.sensor.accelerometer,1538418839572,2087807645509854,-6.933608,-15.413871,5.5880666
android.sensor.accelerometer,1538418839592,2087807665707460,-7.1059904,-16.754623,5.3678
android.sensor.accelerometer,1538418839612,2087807685457358,-9.394848,-18.162415,7.3885064
android.sensor.accelerometer,1538418839632,2087807705487308,-11.779472,-18.459295,8.781932
android.sensor.accelerometer,1538418839654,2087807725097205,-12.023681,-18.583794,7.8050976
android.sensor.accelerometer,1538418839673,2087807745124707,-11.453861,-18.947712,5.865794
android.sensor.accelerometer,1538418839692,2087807765067834,-11.468226,-18.708292,5.391742
android.sensor.accelerometer,1538418839712,2087807785052211,-11.540052,-17.76019,6.4020953
android.sensor.accelerometer,1538418839734,2087807804638515,-10.299856,-16.132132,6.5457473
android.sensor.accelerometer,1538418839751,2087807824668986,-7.302315,-14.958972,5.889736
android.sensor.accelerometer,1538418839772,2087807844682113,-3.5577838,-14.058752,5.6551046
android.sensor.accelerometer,1538418839791,2087807864466907,-0.47405192,-13.445837,6.4547677
android.sensor.accelerometer,1538418839811,2087807884377117,1.0342951,-13.096283,8.236053
android.sensor.accelerometer,1538418839831,2087807904385504,0.78050977,-12.717999,10.055647
android.sensor.accelerometer,1538418839851,2087807924174986,0.34955344,-12.492945,11.659762
android.sensor.accelerometer,1538418839871,2087807944007019,0.33997664,-13.2351465,11.769896
android.sensor.accelerometer,1538418839890,2087807963731552,-0.34955344,-14.523228,13.761871
android.sensor.accelerometer,1538418839911,2087807983935721,-1.0534488,-17.597382,15.7586355
android.sensor.accelerometer,1538418839931,2087808003702337,-2.9640217,-22.395363,19.038692
android.sensor.accelerometer,1538418839950,2087808023782964,-5.386954,-28.12708,21.859062
android.sensor.accelerometer,1538418839970,2087808043419164,-6.603208,-33.50446,23.319525
android.sensor.accelerometer,1538418839991,2087808063571041,2.2361844,-41.793186,19.369091
android.sensor.accelerometer,1538418840010,2087808083226460,20.834343,-45.14507,5.78918
android.sensor.accelerometer,1538418840030,2087808103338806,37.239414,-37.344757,-10.496181
android.sensor.accelerometer,1538418840050,2087808123014641,36.502,-40.43807,-10.644621
android.sensor.accelerometer,1538418840071,2087808143040164,45.896847,-44.436382,-4.098873
android.sensor.accelerometer,1538418840091,2087808162637301,41.960777,-39.786842,-24.02342
android.sensor.accelerometer,1538418840109,2087808182821001,39.46123,-25.57965,-54.14248
android.sensor.accelerometer,1538418840128,2087808202497670,43.737278,1.0821792,-52.332462
android.sensor.accelerometer,1538418840150,2087808222657255,36.16681,6.7324953,-5.717354
android.sensor.accelerometer,1538418840171,2087808242464601,24.387339,1.2785037,12.421119
android.sensor.accelerometer,1538418840192,2087808262693769,22.936453,1.091756,5.511452
android.sensor.accelerometer,1538418840210,2087808282318303,22.036232,2.135628,-6.042965
android.sensor.accelerometer,1538418840229,2087808302137002,17.530344,2.4277205,-7.905654
android.sensor.accelerometer,1538418840249,2087808321882109,12.483368,0.92895025,-1.9440918
android.sensor.accelerometer,1538418840269,2087808342018517,12.382812,1.7046716,1.0007763
android.sensor.accelerometer,1538418840290,2087808361712790,14.4130945,2.60968,0.37349546
