Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1538418832451,2087800505888777,-0.08096257,-0.15766394,-0.08628905
android.sensor.gyroscope,1538418832457,2087800525814560,-0.017044751,-0.21305938,0.04154658
android.sensor.gyroscope,1538418832475,2087800545893364,0.1747087,-0.26206306,0.09587672
android.sensor.gyroscope,1538418832493,2087800565633731,0.22584295,-0.29295665,0.011718267
android.sensor.gyroscope,1538418832514,2087800585579097,0.07776668,-0.15340276,-0.064983115
android.sensor.gyroscope,1538418832534,2087800605146131,-0.067113705,-0.08415846,-0.10013791
android.sensor.gyroscope,1538418832554,2087800625204674,-0.089484945,-0.06285252,-0.059656627
android.sensor.gyroscope,1538418832574,2087800645325978,0.0021305939,0.015979454,0.033024207
android.sensor.gyroscope,1538418832591,2087800665133637,0.03089361,0.14488038,0.08628905
android.sensor.gyroscope,1538418832611,2087800684955097,-0.057526033,0.29295665,0.08735435
android.sensor.gyroscope,1538418832632,2087800704778120,-0.15446806,0.16299044,0.026632423
android.sensor.gyroscope,1538418832651,2087800724505257,-0.08628905,0.005326485,-0.036220096
android.sensor.gyroscope,1538418832671,2087800744686717,0.005326485,0.11185618,0.14274979
android.sensor.gyroscope,1538418832691,2087800764465886,-0.035154797,0.21625528,0.31106672
android.sensor.gyroscope,1538418832712,2087800784535003,-0.1022685,-0.094811425,-0.0021305939
android.sensor.gyroscope,1538418832731,2087800804235942,-0.23862651,0.05646074,-0.09587672
android.sensor.gyroscope,1538418832751,2087800824089590,-0.23543063,0.11079088,-0.019175345
android.sensor.gyroscope,1538418832770,2087800843969540,-0.26738954,0.36859274,0.09374613
android.sensor.gyroscope,1538418832790,2087800863975219,-0.30893612,0.48044893,0.22371235
android.sensor.gyroscope,1538418832810,2087800883709492,-0.08415846,-0.25034478,0.005326485
android.sensor.gyroscope,1538418832831,2087800903860692,0.11292148,-1.0056403,-0.34089503
android.sensor.gyroscope,1538418832850,2087800923500433,-0.1054644,-1.2368097,-0.2865649
