Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1538418704191,2087672236788292,4.865018,8.121132,-3.0023289
android.sensor.accelerometer,1538418704191,2087672256617304,5.1906295,8.24563,-2.815581
android.sensor.accelerometer,1538418704204,2087672276351889,5.1906295,8.149862,-2.6767175
android.sensor.accelerometer,1538418704223,2087672296454339,4.6782703,8.202535,-2.7820623
android.sensor.accelerometer,1538418704243,2087672316330956,4.8219223,8.307879,-3.0502129
android.sensor.accelerometer,1538418704264,2087672336244864,5.0421886,8.255207,-2.9496565
android.sensor.accelerometer,1538418704283,2087672356136897,5.0517654,8.341399,-2.6479871
android.sensor.accelerometer,1538418704305,2087672375776899,4.8506527,8.24563,-2.657564
android.sensor.accelerometer,1538418704323,2087672395909974,4.7644615,8.413225,-2.6048915
android.sensor.accelerometer,1538418704343,2087672415783778,4.783615,8.365341,-2.3463178
android.sensor.accelerometer,1538418704363,2087672435672999,4.817134,8.336611,-2.2026656
android.sensor.accelerometer,1538418704392,2087672455562740,4.654328,8.456321,-2.2840683
android.sensor.accelerometer,1538418704406,2087672475505555,4.912902,8.413225,-2.4037786
android.sensor.accelerometer,1538418704424,2087672495420192,5.1140146,8.327033,-2.2409728
android.sensor.accelerometer,1538418704445,2087672516025871,5.2480903,8.513782,-2.0925324
android.sensor.accelerometer,1538418704463,2087672535174103,5.2480903,8.604761,-2.1021092
android.sensor.accelerometer,1538418704483,2087672555062594,5.1475334,8.590396,-2.3942018
android.sensor.accelerometer,1538418704503,2087672574971971,5.2289367,8.652645,-2.4995465
android.sensor.accelerometer,1538418704523,2087672594826608,5.386954,8.872911,-3.0214825
android.sensor.accelerometer,1538418704542,2087672614716506,5.8562174,9.323022,-3.2225955
android.sensor.accelerometer,1538418704563,2087672634388644,6.5936313,9.653421,-3.3614593
android.sensor.accelerometer,1538418704585,2087672654649219,7.61835,10.70687,-2.954445
android.sensor.accelerometer,1538418704605,2087672674377710,8.820239,11.506534,-4.1371803
android.sensor.accelerometer,1538418704623,2087672694455889,10.43872,12.263102,-5.7843914
android.sensor.accelerometer,1538418704644,2087672714344954,11.36767,11.9135475,-7.5225816
android.sensor.accelerometer,1538418704665,2087672734232143,10.251971,11.382035,-8.6574335
android.sensor.accelerometer,1538418704683,2087672753670218,9.064447,10.635044,-7.2448545
android.sensor.accelerometer,1538418704703,2087672773846418,7.608773,9.643845,-5.1810527
android.sensor.accelerometer,1538418704726,2087672793908555,6.655881,7.771579,-3.715801
android.sensor.accelerometer,1538418704745,2087672815270380,3.6104562,5.434838,-2.0159178
android.sensor.accelerometer,1538418704765,2087672835370435,-2.944868,2.2744915,-0.81402856
android.sensor.accelerometer,1538418704786,2087672855261009,-9.619903,-0.15322891,1.2545617
android.sensor.accelerometer,1538418704806,2087672875167157,-13.120225,-2.111686,5.1140146
android.sensor.accelerometer,1538418704826,2087672895063253,-11.798626,-3.8642416,9.3421755
android.sensor.accelerometer,1538418704845,2087672915820599,-10.778696,-5.9041014,13.259089
android.sensor.accelerometer,1538418704863,2087672934818049,-9.964667,-8.054094,16.108189
android.sensor.accelerometer,1538418704883,2087672952987894,-6.2392898,-9.672575,16.093824
android.sensor.accelerometer,1538418704902,2087672972788417,-0.23942018,-11.947066,14.269443
android.sensor.accelerometer,1538418704925,2087672994480971,3.4715924,-12.196063,13.690045
android.sensor.accelerometer,1538418704940,2087673012529515,5.8562174,-13.838486,11.903971
android.sensor.accelerometer,1538418704959,2087673032375506,8.106767,-16.634912,8.312668
android.sensor.accelerometer,1538418704985,2087673054136081,11.27669,-20.786459,4.9176903
android.sensor.accelerometer,1538418705000,2087673072124521,18.574217,-23.415293,2.825158
android.sensor.accelerometer,1538418705019,2087673091769939,19.594147,-25.866955,2.8778305
android.sensor.accelerometer,1538418705038,2087673111822962,18.310854,-31.18687,1.8914193
android.sensor.accelerometer,1538418705057,2087673131669891,22.208614,-36.16202,-1.0342951
android.sensor.accelerometer,1538418705078,2087673151626404,27.547686,-36.190754,-6.4978633
android.sensor.accelerometer,1538418705106,2087673171509530,30.257921,-36.147655,-6.3781533
android.sensor.accelerometer,1538418705143,2087673191195678,38.431725,-40.457222,-0.11492168
android.sensor.accelerometer,1538418705143,2087673211099482,41.29998,-35.53953,-0.047884032
android.sensor.accelerometer,1538418705157,2087673231120474,42.990284,-35.458126,-2.6431987
android.sensor.accelerometer,1538418705177,2087673251042195,45.667004,-42.870575,-0.25378537
android.sensor.accelerometer,1538418705198,2087673270992405,47.793053,-49.75151,-0.46447513
android.sensor.accelerometer,1538418705217,2087673290641678,50.96298,-51.25507,-2.3463178
android.sensor.accelerometer,1538418705239,2087673310753346,44.407654,-45.84896,-9.993398
android.sensor.accelerometer,1538418705262,2087673330549963,36.865917,-38.910564,-14.5088625
android.sensor.accelerometer,1538418705278,2087673350523246,31.76148,-32.24511,-11.678916
android.sensor.accelerometer,1538418705297,2087673370394707,27.274746,-26.925192,-5.8801594
android.sensor.accelerometer,1538418705317,2087673390074292,23.539791,-22.888569,-2.4037786
android.sensor.accelerometer,1538418705339,2087673410188408,19.661184,-19.996372,-1.3503298
android.sensor.accelerometer,1538418705358,2087673430156692,15.260642,-15.993267,-0.40701428
android.sensor.accelerometer,1538418705378,2087673449985079,13.512875,-14.66688,-0.14844051
android.sensor.accelerometer,1538418705398,2087673469826227,12.320562,-12.722788,-1.6136919
android.sensor.accelerometer,1538418705418,2087673489808104,9.682152,-10.845734,0.46447513
android.sensor.accelerometer,1538418705440,2087673509418158,6.50744,-9.193734,0.31124622
android.sensor.accelerometer,1538418705456,2087673529311077,3.6248214,-7.2065473,-0.2825158
android.sensor.accelerometer,1538418705477,2087673549465922,2.2409728,-5.841852,-1.6184803
android.sensor.accelerometer,1538418705497,2087673569343945,3.2034419,-4.6686935,-1.910573
android.sensor.accelerometer,1538418705507,2087673580105248,2.8874073,-3.940856,-1.8435353
android.sensor.accelerometer,1538418705526,2087673599093584,2.1164744,-2.0925324,-1.661576
android.sensor.accelerometer,1538418705546,2087673619023117,0.58418524,-0.8475474,-0.9672575
android.sensor.accelerometer,1538418705566,2087673639084473,-0.5506664,0.51714754,0.15801731
android.sensor.accelerometer,1538418705586,2087673658760256,0.0,1.3838485,1.0965444
android.sensor.accelerometer,1538418705606,2087673678820779,1.685518,1.388637,1.6807296
android.sensor.accelerometer,1538418705627,2087673698606146,1.1875241,3.5290532,2.920926
android.sensor.accelerometer,1538418705645,2087673718412085,0.49320555,5.023035,3.3806129
android.sensor.accelerometer,1538418705665,2087673738146254,-0.02873042,5.080496,2.5187001
android.sensor.accelerometer,1538418705688,2087673758183964,0.8331822,5.415684,2.7341783
android.sensor.accelerometer,1538418705704,2087673778068393,1.9632454,6.105214,3.289633
android.sensor.accelerometer,1538418705726,2087673798075999,1.8435353,6.646304,3.596091
android.sensor.accelerometer,1538418705745,2087673817865584,1.1923125,6.8426285,4.0318356
android.sensor.accelerometer,1538418705766,2087673839107774,0.61770403,7.5225816,5.070919
android.sensor.accelerometer,1538418705785,2087673857765901,0.58897364,7.896077,5.2768207
android.sensor.accelerometer,1538418705807,2087673877513611,1.5514427,8.1402855,5.2624555
android.sensor.accelerometer,1538418705826,2087673897421686,1.7525556,8.111555,4.6160207
android.sensor.accelerometer,1538418705844,2087673917486480,1.484405,7.943961,4.9224787
android.sensor.accelerometer,1538418705864,2087673937218096,0.6799533,7.867347,5.626374
android.sensor.accelerometer,1538418705883,2087673957236432,0.5650316,7.714118,6.215348
android.sensor.accelerometer,1538418705903,2087673976982267,0.5506664,7.7189064,6.9000893
android.sensor.accelerometer,1538418705924,2087673997022790,0.7422025,7.6710224,7.321469
