Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1538418690812,2087658852009874,0.02769772,0.0021305939,-0.039415985
android.sensor.gyroscope,1538418690812,2087658871938782,0.02769772,0.0085223755,-0.017044751
android.sensor.gyroscope,1538418690823,2087658891728368,0.020240642,-0.031958908,-0.03089361
android.sensor.gyroscope,1538418690840,2087658911675088,0.034089502,-0.060721926,-0.06285252
android.sensor.gyroscope,1538418690860,2087658931712538,-0.0010652969,0.03089361,-0.070309594
android.sensor.gyroscope,1538418690882,2087658951329728,-0.043677174,0.05539544,-0.018110048
android.sensor.gyroscope,1538418690902,2087658971439000,0.017044751,-0.08202787,-0.02450183
android.sensor.gyroscope,1538418690919,2087658991158169,0.031958908,-0.14914156,-0.09587672
android.sensor.gyroscope,1538418690939,2087659011230567,-0.064983115,-0.02130594,-0.10866029
android.sensor.gyroscope,1538418690959,2087659031046559,-0.113986775,0.07350549,-0.07137489
android.sensor.gyroscope,1538418690978,2087659050864060,-0.054330144,-0.01065297,-0.039415985
android.sensor.gyroscope,1538418691000,2087659070938906,0.08309316,-0.2066676,-0.031958908
android.sensor.gyroscope,1538418691019,2087659090808283,0.18429637,-0.4431635,-0.05646074
android.sensor.gyroscope,1538418691037,2087659110588858,-0.0074570784,-0.28336897,-0.05113425
android.sensor.gyroscope,1538418691057,2087659130607246,-0.10652969,-0.10652969,-0.10652969
android.sensor.gyroscope,1538418691083,2087659150299383,-0.022371236,-0.33130735,-0.1374233
android.sensor.gyroscope,1538418691122,2087659170160583,0.035154797,-0.6956389,-0.18749227
android.sensor.gyroscope,1538418691122,2087659189866001,0.09694202,-1.1100394,-0.2844343
android.sensor.gyroscope,1538418691136,2087659209916368,0.16512102,-1.2954011,-0.43251055
android.sensor.gyroscope,1538418691156,2087659229758401,0.3057402,-1.5968801,-0.6658106
android.sensor.gyroscope,1538418691176,2087659249818664,0.23116943,-2.0112805,-0.9907262
android.sensor.gyroscope,1538418691196,2087659269540384,-0.07457078,-2.2158177,-1.2868787
android.sensor.gyroscope,1538418691217,2087659289671324,-0.34302562,-2.5663004,-1.5308317
android.sensor.gyroscope,1538418691236,2087659309378826,-0.6455699,-2.694136,-1.7119322
android.sensor.gyroscope,1538418691257,2087659329552109,-0.9108289,-1.9505587,-1.9185997
android.sensor.gyroscope,1538418691278,2087659349234976,-1.0397298,-1.6799732,-2.080525
android.sensor.gyroscope,1538418691297,2087659369227894,-1.0194892,-1.9431016,-1.7311075
android.sensor.gyroscope,1538418691318,2087659388752688,-0.9353307,-2.2467113,-0.8618252
android.sensor.gyroscope,1538418691337,2087659409030867,-0.65089643,-2.1252675,0.07137489
android.sensor.gyroscope,1538418691356,2087659428772536,-0.10120321,-2.2509725,1.1324106
android.sensor.gyroscope,1538418691376,2087659448851913,0.8767394,-2.712246,2.4917295
android.sensor.gyroscope,1538418691397,2087659468508842,2.24245,-2.7165072,3.8318732
android.sensor.gyroscope,1538418691418,2087659488419833,3.6220095,-2.3042374,4.4902267
android.sensor.gyroscope,1538418691437,2087659508202335,4.7661386,-1.7662623,4.701155
android.sensor.gyroscope,1538418691456,2087659528481400,5.4766917,-1.2506586,5.0218096
android.sensor.gyroscope,1538418691476,2087659548040881,5.7771053,-0.50814664,5.4596467
android.sensor.gyroscope,1538418691496,2087659568097445,6.04556,0.28869548,5.7355585
android.sensor.gyroscope,1538418691515,2087659587630572,6.2873826,1.4232367,6.2202687
android.sensor.gyroscope,1538418691534,2087659607693960,6.88821,1.2954011,6.2756643
android.sensor.gyroscope,1538418691555,2087659627577608,8.123955,0.05539544,5.4127736
android.sensor.gyroscope,1538418691575,2087659647674016,9.661178,-0.37178862,4.219641
android.sensor.gyroscope,1538418691595,2087659667369018,9.387397,-0.18003519,2.9103913
android.sensor.gyroscope,1538418691615,2087659687265166,8.650211,0.39415985,1.4360203
android.sensor.gyroscope,1538418691636,2087659706966313,7.850173,1.2432015,-0.2759119
android.sensor.gyroscope,1538418691655,2087659727168451,5.6332903,3.5516999,-1.072754
android.sensor.gyroscope,1538418691675,2087659746794859,5.1816044,5.9859033,-1.2389404
android.sensor.gyroscope,1538418691694,2087659766989548,6.7028484,6.7241545,-1.8823797
android.sensor.gyroscope,1538418691713,2087659786766582,8.144195,6.1947017,-2.9157176
android.sensor.gyroscope,1538418691735,2087659806768719,8.804679,5.338203,-4.049194
android.sensor.gyroscope,1538418691754,2087659826495492,9.056089,4.194074,-5.0750747
android.sensor.gyroscope,1538418691774,2087659846569869,8.510657,3.339706,-5.4692345
android.sensor.gyroscope,1538418691793,2087659866267423,8.16124,3.4291909,-5.36377
android.sensor.gyroscope,1538418691817,2087659886336435,7.3569407,4.033214,-5.1709514
android.sensor.gyroscope,1538418691833,2087659906119875,6.6282773,3.3343794,-3.7551718
android.sensor.gyroscope,1538418691853,2087659926086491,4.9056926,1.9931706,-2.415028
android.sensor.gyroscope,1538418691875,2087659945890920,2.5641696,1.442412,-1.8067436
android.sensor.gyroscope,1538418691895,2087659965690662,1.7715888,1.1388024,-1.7055404
android.sensor.gyroscope,1538418691914,2087659985622383,2.43953,0.3100014,-2.0421743
android.sensor.gyroscope,1538418691934,2087660005710301,3.357816,-0.6594188,-2.2839966
android.sensor.gyroscope,1538418691953,2087660025658845,3.6859274,-0.61361104,-2.253103
android.sensor.gyroscope,1538418691973,2087660045692493,2.8049269,0.33769912,-2.2989109
android.sensor.gyroscope,1538418691993,2087660065286922,1.5201787,0.23330003,-1.9707993
android.sensor.gyroscope,1538418692013,2087660085019163,0.6551576,0.63065577,-1.3294905
android.sensor.gyroscope,1538418692032,2087660105055832,0.09374613,0.7244019,-0.8820659
android.sensor.gyroscope,1538418692055,2087660125263647,-0.18962285,1.0514481,-0.95024484
android.sensor.gyroscope,1538418692074,2087660144833961,-0.38670278,1.8706614,-1.1590431
android.sensor.gyroscope,1538418692092,2087660164885942,-0.43890235,2.4725542,-0.9960526
android.sensor.gyroscope,1538418692114,2087660184615215,-0.43783703,2.3990488,-0.5187996
android.sensor.gyroscope,1538418692132,2087660204662613,-0.21945117,2.0368478,-0.24608359
android.sensor.gyroscope,1538418692152,2087660224265479,0.15979454,1.786503,-0.08628905
android.sensor.gyroscope,1538418692173,2087660244515325,0.49003658,1.7172587,-0.009587673
android.sensor.gyroscope,1538418692193,2087660264163400,0.71055305,1.2059162,-0.351548
android.sensor.gyroscope,1538418692213,2087660284213454,0.85330284,0.5603462,-0.6125457
android.sensor.gyroscope,1538418692233,2087660303953977,0.56993383,0.14701098,-0.43570644
android.sensor.gyroscope,1538418692252,2087660323991844,0.07457078,0.22264706,0.005326485
android.sensor.gyroscope,1538418692271,2087660343712471,-0.204537,0.45807767,0.40268224
android.sensor.gyroscope,1538418692291,2087660363770545,-0.08202787,0.36007038,0.33663383
android.sensor.gyroscope,1538418692311,2087660383489037,0.50282013,0.31532788,-0.23649593
android.sensor.gyroscope,1538418692331,2087660403547164,0.7350549,1.0471869,-0.57739097
android.sensor.gyroscope,1538418692351,2087660423265343,0.35793978,1.4360203,-0.22584295
android.sensor.gyroscope,1538418692370,2087660443246960,-0.32598087,1.3539925,0.34089503
android.sensor.gyroscope,1538418692390,2087660462962378,-0.487906,0.986465,0.28869548
android.sensor.gyroscope,1538418692410,2087660483024776,-0.12463974,0.24075711,0.09055024
android.sensor.gyroscope,1538418692430,2087660502739466,0.23116943,0.0,0.05646074
android.sensor.gyroscope,1538418692451,2087660522793009,0.22051647,0.32278496,0.13316211
