Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1538418376052,2087344094314040,0.45489833,8.983045,4.098873
android.sensor.accelerometer,1538418376052,2087344114359042,0.2633622,9.074024,3.6248214
android.sensor.accelerometer,1538418376065,2087344134115138,0.272939,9.131485,3.5769374
android.sensor.accelerometer,1538418376080,2087344154182379,0.23463176,9.074024,3.6008794
android.sensor.accelerometer,1538418376100,2087344174029152,0.18195933,9.030929,3.7349546
android.sensor.accelerometer,1538418376121,2087344193945196,0.10055647,9.064447,3.9504328
android.sensor.accelerometer,1538418376141,2087344213834833,-0.04309563,9.059659,3.7253778
android.sensor.accelerometer,1538418376162,2087344233709002,0.12928689,9.035717,3.8786068
android.sensor.accelerometer,1538418376180,2087344253650514,0.05746084,9.088389,3.7541082
android.sensor.accelerometer,1538418376200,2087344273537027,0.10055647,9.040505,3.739743
android.sensor.accelerometer,1538418376220,2087344293440622,0.10055647,9.006987,3.8067808
android.sensor.accelerometer,1538418376240,2087344313319114,0.0,8.978256,3.7014358
android.sensor.accelerometer,1538418376261,2087344333175001,-0.06703765,8.90643,3.6343982
android.sensor.accelerometer,1538418376281,2087344353162451,-0.05267244,8.930372,3.7110126
android.sensor.accelerometer,1538418376300,2087344373054276,0.14844051,8.911219,3.7732618
android.sensor.accelerometer,1538418376326,2087344392951674,0.22984336,8.825027,3.7493198
android.sensor.accelerometer,1538418376340,2087344412828238,0.1436521,8.829816,3.8833952
android.sensor.accelerometer,1538418376359,2087344432593188,0.062249243,8.825027,3.5529952
android.sensor.accelerometer,1538418376379,2087344452479232,-0.05746084,8.75799,3.2082303
android.sensor.accelerometer,1538418376400,2087344472231994,-0.062249243,8.528147,3.2082303
android.sensor.accelerometer,1538418376418,2087344492153923,-0.20590134,8.255207,3.0597897
android.sensor.accelerometer,1538418376438,2087344511979707,-0.7469909,7.843405,2.8682537
android.sensor.accelerometer,1538418376459,2087344532021948,-1.4987702,7.28795,2.9113493
android.sensor.accelerometer,1538418376478,2087344551759242,-2.767697,6.579266,3.1986535
android.sensor.accelerometer,1538418376498,2087344571801431,-4.189853,5.7269306,3.6296098
android.sensor.accelerometer,1538418376520,2087344591646746,-3.9791632,5.281609,2.9496565
android.sensor.accelerometer,1538418376538,2087344611590862,-2.8682537,5.9184666,0.7517793
android.sensor.accelerometer,1538418376558,2087344631449354,-2.0925324,7.067683,0.320823
android.sensor.accelerometer,1538418376578,2087344651205189,-2.327164,8.66701,1.9536686
android.sensor.accelerometer,1538418376598,2087344671098629,-3.2513258,10.778696,4.596867
android.sensor.accelerometer,1538418376620,2087344691380089,-4.146757,12.665327,6.612785
android.sensor.accelerometer,1538418376638,2087344711049206,-2.7485435,14.72434,8.475474
android.sensor.accelerometer,1538418376661,2087344730995822,1.3120226,17.81765,9.624691
