Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1538418376052,2087344094344560,0.06285252,-0.034089502,0.050068956
android.sensor.gyroscope,1538418376052,2087344114420083,0.092680834,-0.015979454,0.026632423
android.sensor.gyroscope,1538418376065,2087344134145658,0.050068956,-0.009587673,0.01065297
android.sensor.gyroscope,1538418376080,2087344154212899,0.0063917814,0.014914157,-0.019175345
android.sensor.gyroscope,1538418376100,2087344174059672,-0.014914157,0.022371236,-0.02769772
android.sensor.gyroscope,1538418376121,2087344193975716,0.0063917814,-0.012783563,-0.036220096
android.sensor.gyroscope,1538418376141,2087344213865353,0.022371236,-0.012783563,-0.02450183
android.sensor.gyroscope,1538418376162,2087344233739522,0.012783563,0.0063917814,0.01065297
android.sensor.gyroscope,1538418376180,2087344253711555,0.033024207,-0.026632423,-0.0063917814
android.sensor.gyroscope,1538418376200,2087344273567547,0.02450183,-0.009587673,-0.018110048
android.sensor.gyroscope,1538418376220,2087344293471142,0.0021305939,0.03835069,-0.02769772
android.sensor.gyroscope,1538418376240,2087344313349634,0.0085223755,0.009587673,-0.039415985
android.sensor.gyroscope,1538418376261,2087344333205521,0.0021305939,-0.005326485,-0.03728539
android.sensor.gyroscope,1538418376281,2087344353192971,-0.011718267,0.0063917814,-0.009587673
android.sensor.gyroscope,1538418376300,2087344373084796,-0.023436533,-0.005326485,0.019175345
android.sensor.gyroscope,1538418376327,2087344392982194,-0.026632423,0.0074570784,0.01384886
android.sensor.gyroscope,1538418376340,2087344412858758,-0.02769772,0.039415985,0.015979454
android.sensor.gyroscope,1538418376359,2087344432623708,0.0042611877,0.01065297,0.025567126
android.sensor.gyroscope,1538418376379,2087344452540273,-0.017044751,-0.014914157,0.046873067
android.sensor.gyroscope,1538418376400,2087344472262514,-0.10013791,0.01384886,0.09055024
android.sensor.gyroscope,1538418376418,2087344492184443,-0.15766394,0.014914157,0.12463974
android.sensor.gyroscope,1538418376439,2087344512040748,-0.2087982,0.026632423,0.19281875
android.sensor.gyroscope,1538418376459,2087344532052468,-0.23862651,-0.0021305939,0.33769912
android.sensor.gyroscope,1538418376478,2087344551789762,-0.14274979,-0.22690825,0.624264
android.sensor.gyroscope,1538418376498,2087344571831951,0.16299044,-0.71055305,1.1441289
android.sensor.gyroscope,1538418376520,2087344591677266,0.68179005,-1.4935462,1.8099395
android.sensor.gyroscope,1538418376538,2087344611621382,0.8607599,-1.8365719,2.2179482
android.sensor.gyroscope,1538418376558,2087344631479874,0.113986775,-0.89165354,2.2989109
android.sensor.gyroscope,1538418376578,2087344651235709,-1.004575,0.7627526,2.0666761
android.sensor.gyroscope,1538418376598,2087344671129149,-1.7417605,1.872792,1.7481523
