Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1538418409354,2087377388696263,-0.50757074,9.002198,3.8115692
android.sensor.accelerometer,1538418409354,2087377408787984,-0.47884035,9.045294,3.8019924
android.sensor.accelerometer,1538418409365,2087377428344704,-0.33039984,8.959103,3.8738184
android.sensor.accelerometer,1538418409375,2087377448582675,-0.48362875,9.016563,3.7732618
android.sensor.accelerometer,1538418409394,2087377468288198,-0.6560113,9.088389,3.6391866
android.sensor.accelerometer,1538418409416,2087377488327887,-0.79487497,8.925584,3.6152446
android.sensor.accelerometer,1538418409436,2087377508093410,-0.60812724,8.911219,3.892972
android.sensor.accelerometer,1538418409455,2087377528192058,-0.50278234,8.916007,3.9600096
android.sensor.accelerometer,1538418409476,2087377547835185,-0.46447513,8.987833,4.036624
android.sensor.accelerometer,1538418409495,2087377567953000,-0.4261679,8.987833,4.0414124
android.sensor.accelerometer,1538418409515,2087377587663522,-0.56982,8.992621,3.9312792
android.sensor.accelerometer,1538418409536,2087377607528316,-0.46926352,8.963891,3.715801
android.sensor.accelerometer,1538418409556,2087377627409724,-0.23463176,8.911219,3.6774938
android.sensor.accelerometer,1538418409575,2087377647491549,-0.29209262,8.834604,3.4955344
android.sensor.accelerometer,1538418409594,2087377667209832,-0.30645782,8.748413,3.3614593
android.sensor.accelerometer,1538418409614,2087377687269209,-0.08140286,8.671799,3.5913026
android.sensor.accelerometer,1538418409634,2087377706792805,-0.038307227,8.614338,3.7062242
android.sensor.accelerometer,1538418409655,2087377727045620,-0.05746084,8.312668,3.8977604
android.sensor.accelerometer,1538418409675,2087377746767757,0.16759412,8.001422,3.916914
android.sensor.accelerometer,1538418409695,2087377766825363,0.78529817,7.536947,4.10845
android.sensor.accelerometer,1538418409714,2087377786543021,2.327164,6.469133,4.2281604
android.sensor.accelerometer,1538418409735,2087377806602503,4.596867,4.912902,3.2273839
android.sensor.accelerometer,1538418409754,2087377826321098,7.086837,4.271256,1.067814
android.sensor.accelerometer,1538418409775,2087377846452871,7.896077,3.8115692,-0.842759
android.sensor.accelerometer,1538418409794,2087377866150529,7.441179,4.4915223,0.17717093
android.sensor.accelerometer,1538418409814,2087377886235688,7.9870567,5.4300494,1.8195933
android.sensor.accelerometer,1538418409834,2087377905690169,10.189722,6.703765,3.715801
android.sensor.accelerometer,1538418409855,2087377926904910,11.803414,8.652645,6.220136
android.sensor.accelerometer,1538418409875,2087377945468923,12.555194,11.243171,9.404425
android.sensor.accelerometer,1538418409894,2087377965573977,11.109096,14.274231,13.168109
android.sensor.accelerometer,1538418409914,2087377985319604,8.384495,17.118542,16.749836
android.sensor.accelerometer,1538418409933,2087378005298876,4.295198,19.847933,20.532673
android.sensor.accelerometer,1538418409953,2087378025294243,-1.5466543,21.581335,25.73288
android.sensor.accelerometer,1538418409973,2087378045224453,-7.9966335,21.126436,31.52206
android.sensor.accelerometer,1538418409993,2087378065153049,-14.207192,17.798496,34.294544
android.sensor.accelerometer,1538418410013,2087378085149353,-18.851944,13.393165,34.873943
android.sensor.accelerometer,1538418410035,2087378104847324,-21.672314,9.581595,32.216377
android.sensor.accelerometer,1538418410052,2087378124937899,-22.031445,6.3781533,26.24045
android.sensor.accelerometer,1538418410074,2087378144634724,-19.182344,4.1611223,22.299595
android.sensor.accelerometer,1538418410092,2087378164688580,-16.7642,0.62728083,20.369867
android.sensor.accelerometer,1538418410112,2087378184775926,-16.610971,-2.9496565,17.022774
android.sensor.accelerometer,1538418410133,2087378204645615,-14.269443,-5.7604494,13.431472
android.sensor.accelerometer,1538418410154,2087378226099836,-12.717999,-7.9104424,10.309433
android.sensor.accelerometer,1538418410175,2087378246137286,-14.202404,-10.280702,8.2169
android.sensor.accelerometer,1538418410194,2087378265868434,-13.9151,-12.612655,8.437167
android.sensor.accelerometer,1538418410218,2087378285943696,-10.13705,-14.245501,9.710882
android.sensor.accelerometer,1538418410235,2087378305640833,-6.033388,-15.179238,8.896853
android.sensor.accelerometer,1538418410255,2087378325681721,-0.92895025,-14.72434,6.933608
android.sensor.accelerometer,1538418410274,2087378345405733,1.8339585,-14.020445,4.8123455
android.sensor.accelerometer,1538418410295,2087378365475162,4.7644615,-11.745954,4.132392
android.sensor.accelerometer,1538418410313,2087378385182664,9.404425,-8.628703,5.1379566
android.sensor.accelerometer,1538418410335,2087378405251208,14.709975,-5.1906295,5.363012
android.sensor.accelerometer,1538418410353,2087378424959439,15.887922,-2.480393,3.9121256
android.sensor.accelerometer,1538418410375,2087378445038295,15.68681,0.39264908,4.6016555
android.sensor.accelerometer,1538418410393,2087378464734547,18.243816,1.6903064,4.3478703
android.sensor.accelerometer,1538418410413,2087378484806164,18.698715,3.2561142,1.6711528
android.sensor.accelerometer,1538418410431,2087378502565749,15.466543,3.4572272,1.7046716
android.sensor.accelerometer,1538418410451,2087378522689657,12.459426,4.036624,3.3662477
android.sensor.accelerometer,1538418410473,2087378542383357,12.74673,4.1132383,2.9879637
android.sensor.accelerometer,1538418410494,2087378564376484,14.441825,4.7884035,3.0502129
android.sensor.accelerometer,1538418410512,2087378584079820,16.31409,6.8809357,1.7621324
android.sensor.accelerometer,1538418410533,2087378604156853,14.00608,8.173804,1.3838485
android.sensor.accelerometer,1538418410553,2087378623451438,13.713987,9.667787,3.3806129
android.sensor.accelerometer,1538418410574,2087378643663680,17.458519,11.9853735,5.473145
android.sensor.accelerometer,1538418410593,2087378664716859,19.910181,16.117765,2.006341
android.sensor.accelerometer,1538418410614,2087378683683423,15.768212,18.607735,-1.2880806
android.sensor.accelerometer,1538418410632,2087378702962852,9.481039,16.007633,6.540959
android.sensor.accelerometer,1538418410652,2087378723465354,4.3526587,12.847286,19.086576
android.sensor.accelerometer,1538418410672,2087378743188637,-0.023942016,15.318103,21.193474
android.sensor.accelerometer,1538418410693,2087378763282858,-4.582502,19.172768,12.196063
android.sensor.accelerometer,1538418410712,2087378782959475,-4.745308,18.377892,9.323022
android.sensor.accelerometer,1538418410732,2087378803042862,-5.7987566,13.28782,14.441825
android.sensor.accelerometer,1538418410752,2087378822739427,-8.465898,8.307879,15.773001
android.sensor.accelerometer,1538418410772,2087378842796252,-10.773908,7.369353,10.91756
android.sensor.accelerometer,1538418410791,2087378862514222,-10.414778,7.762002,5.3342814
android.sensor.accelerometer,1538418410812,2087378882660735,-8.236053,8.556877,2.2409728
android.sensor.accelerometer,1538418410831,2087378902288601,-4.735731,8.465898,1.364695
android.sensor.accelerometer,1538418410851,2087378920558186,-2.4037786,8.269572,1.4077905
android.sensor.accelerometer,1538418410873,2087378942071053,-2.4756045,7.5321584,1.6424223
android.sensor.accelerometer,1538418410892,2087378962033451,-2.8443117,7.192182,1.8483237
android.sensor.accelerometer,1538418410910,2087378981781161,-2.6240451,7.608773,2.3511062
android.sensor.accelerometer,1538418410929,2087379000002153,-1.685518,7.8865004,3.442862
android.sensor.accelerometer,1538418410949,2087379019954290,1.7381904,5.161899,3.4332852
android.sensor.accelerometer,1538418410971,2087379041688980,-0.5746084,8.135497,3.5577838
android.sensor.accelerometer,1538418410992,2087379061398721,-0.91458505,7.7811556,4.8362875
android.sensor.accelerometer,1538418411011,2087379081460390,0.7757214,7.953538,6.0621185
android.sensor.accelerometer,1538418411031,2087379101666173,1.7525556,8.111555,6.8186865
android.sensor.accelerometer,1538418411052,2087379121250811,2.3415294,7.455544,6.3542113
android.sensor.accelerometer,1538418411072,2087379140954094,2.1260512,7.7811556,6.6510925
android.sensor.accelerometer,1538418411092,2087379161017117,1.2018893,7.8146744,6.679823
android.sensor.accelerometer,1538418411107,2087379178588837,0.8283938,8.264784,6.5936313
android.sensor.accelerometer,1538418411129,2087379200805193,-0.24420857,7.8050976,6.3111157
android.sensor.accelerometer,1538418411151,2087379220525508,-0.45010993,7.8146744,7.053318
android.sensor.accelerometer,1538418411171,2087379240577854,-0.20111294,8.030152,7.819463
android.sensor.accelerometer,1538418411190,2087379258396762,0.6655881,8.039729,8.0684595
android.sensor.accelerometer,1538418411211,2087379280314368,2.0446482,6.277597,6.4308257
android.sensor.accelerometer,1538418411232,2087379300088745,0.1340753,7.07726,5.923255
android.sensor.accelerometer,1538418411250,2087379320125466,-0.4309563,8.1642275,5.865794
android.sensor.accelerometer,1538418411272,2087379339854791,1.1779473,8.054094,5.3725886
android.sensor.accelerometer,1538418411290,2087379359904428,1.9440918,7.5225816,4.7644615
android.sensor.accelerometer,1538418411310,2087379379619222,0.15322891,7.479486,5.3821654
android.sensor.accelerometer,1538418411332,2087379399682817,-0.58897364,7.4363904,6.3350577
android.sensor.accelerometer,1538418411351,2087379419394226,1.3694834,7.225701,6.2871737
android.sensor.accelerometer,1538418411370,2087379439471832,2.2697031,7.8625584,5.463568
android.sensor.accelerometer,1538418411391,2087379459243969,1.2976574,7.61835,5.5497594
android.sensor.accelerometer,1538418411411,2087379479240117,-0.6847417,7.3310456,6.766014
android.sensor.accelerometer,1538418411427,2087379498955223,0.15801731,6.4260373,7.3885064
android.sensor.accelerometer,1538418411451,2087379519013298,1.0486604,6.8809357,7.053318
android.sensor.accelerometer,1538418411470,2087379538740123,1.3551182,7.369353,6.517017
android.sensor.accelerometer,1538418411490,2087379558809344,0.78050977,6.909666,6.6606693
android.sensor.accelerometer,1538418411510,2087379578525023,0.5267244,6.8426285,7.3549876
android.sensor.accelerometer,1538418411529,2087379598573046,0.9768343,6.4020953,7.9726915
android.sensor.accelerometer,1538418411546,2087379616596381,1.0295067,6.6654577,8.054094
android.sensor.accelerometer,1538418411570,2087379638375550,0.7278373,6.8330517,7.9343843
android.sensor.accelerometer,1538418411590,2087379658069406,0.39264908,6.8091097,7.809886
android.sensor.accelerometer,1538418411609,2087379678139043,0.37828386,6.9527617,6.967127
android.sensor.accelerometer,1538418411626,2087379697728785,0.15322891,7.015011,6.95755
android.sensor.accelerometer,1538418411643,2087379715976964,0.38307226,6.9623384,7.7572136
android.sensor.accelerometer,1538418411663,2087379735636080,0.17717093,7.2687964,6.919243
android.sensor.accelerometer,1538418411685,2087379755587488,-0.5315128,7.5321584,5.7508726
android.sensor.accelerometer,1538418411702,2087379775419417,-0.30166942,7.0245876,5.659893
android.sensor.accelerometer,1538418411722,2087379795443794,0.44532153,6.6079965,6.5984197
