Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1538418431092,2087399157251087,0.04154658,0.04154658,-0.017044751
android.sensor.gyroscope,1538418431105,2087399177117339,0.022371236,0.015979454,-0.050068956
android.sensor.gyroscope,1538418431123,2087399197051924,-0.029828314,0.0031958907,-0.06178722
android.sensor.gyroscope,1538418431143,2087399216946249,-0.05219955,0.01065297,-0.039415985
android.sensor.gyroscope,1538418431163,2087399236728282,0.005326485,-0.0031958907,-0.015979454
android.sensor.gyroscope,1538418431183,2087399256621982,0.07563608,-0.0010652969,0.0085223755
android.sensor.gyroscope,1538418431206,2087399276542349,0.06178722,-0.011718267,0.014914157
android.sensor.gyroscope,1538418431223,2087399296478705,0.009587673,0.0063917814,-0.026632423
android.sensor.gyroscope,1538418431243,2087399316317978,-0.035154797,0.036220096,-0.04261188
android.sensor.gyroscope,1538418431263,2087399336300063,-0.0085223755,0.017044751,-0.029828314
android.sensor.gyroscope,1538418431283,2087399356132148,0.012783563,-0.0085223755,-0.018110048
android.sensor.gyroscope,1538418431305,2087399376097046,-0.011718267,-0.031958908,0.01065297
android.sensor.gyroscope,1538418431324,2087399395945329,-0.03835069,-0.005326485,0.023436533
android.sensor.gyroscope,1538418431344,2087399415852519,-0.036220096,0.05646074,0.014914157
android.sensor.gyroscope,1538418431364,2087399435856531,0.07563608,-0.0021305939,0.022371236
android.sensor.gyroscope,1538418431384,2087399455733513,0.1384886,-0.04900366,0.01065297
android.sensor.gyroscope,1538418431404,2087399475561744,0.022371236,0.03728539,0.005326485
android.sensor.gyroscope,1538418431424,2087399495446589,-0.15127216,0.15233746,0.009587673
android.sensor.gyroscope,1538418431444,2087399515349821,-0.30893612,0.56993383,-0.058591332
android.sensor.gyroscope,1538418431462,2087399534970760,-0.4570124,1.0269462,-0.33343795
android.sensor.gyroscope,1538418431484,2087399555262220,-0.73185897,1.4541303,-0.8085604
android.sensor.gyroscope,1538418431505,2087399575143056,-1.162239,1.7854377,-1.0610358
android.sensor.gyroscope,1538418431524,2087399594876651,-1.474371,1.4839586,-1.3135111
android.sensor.gyroscope,1538418431542,2087399614808424,-1.4573262,0.21732058,-1.531897
android.sensor.gyroscope,1538418431562,2087399634751239,-1.3539925,-1.2655728,-1.54255
android.sensor.gyroscope,1538418431583,2087399654599626,-1.1654348,-2.1518998,-1.6725162
android.sensor.gyroscope,1538418431604,2087399674203899,-0.8426499,-2.719703,-1.7172587
android.sensor.gyroscope,1538418431626,2087399696325984,-0.21412468,-3.5208063,-1.7193892
android.sensor.gyroscope,1538418431647,2087399714425153,0.3845722,-4.34215,-2.069872
android.sensor.gyroscope,1538418431670,2087399736016822,0.5592809,-4.44868,-2.7282255
android.sensor.gyroscope,1538418431690,2087399756576459,0.9118942,-4.2814283,-3.1447566
android.sensor.gyroscope,1538418431704,2087399775785263,2.1316593,-4.075826,-3.3269224
android.sensor.gyroscope,1538418431725,2087399793976567,3.6816661,-3.4036238,-3.5133493
android.sensor.gyroscope,1538418431747,2087399815543028,4.387958,-1.697018,-3.4334521
android.sensor.gyroscope,1538418431763,2087399835459957,4.7554855,-0.2428877,-3.3056164
android.sensor.gyroscope,1538418431786,2087399855342979,4.9919815,0.63385165,-2.8528652
android.sensor.gyroscope,1538418431805,2087399873314856,5.098511,1.4701098,-2.345784
android.sensor.gyroscope,1538418431822,2087399893414962,4.782118,2.2179482,-1.8855755
android.sensor.gyroscope,1538418431843,2087399915071475,4.208988,2.7005277,-1.2432015
android.sensor.gyroscope,1538418431865,2087399933163143,3.3418365,3.3556852,-0.82027864
android.sensor.gyroscope,1538418431880,2087399952877781,2.213687,4.0566506,-0.119313255
android.sensor.gyroscope,1538418431901,2087399972775699,1.6544062,4.2100534,0.8479764
android.sensor.gyroscope,1538418431920,2087399992707056,1.5052645,4.2462735,1.3582536
android.sensor.gyroscope,1538418431940,2087400012558828,0.703096,4.8556232,1.636296
android.sensor.gyroscope,1538418431962,2087400032423778,-0.8980453,4.8225994,1.8482902
android.sensor.gyroscope,1538418431985,2087400052281801,-2.1859894,4.386893,2.109288
android.sensor.gyroscope,1538418432000,2087400072166126,-2.2765396,4.1237645,2.478946
android.sensor.gyroscope,1538418432020,2087400092138784,-1.3721025,4.0704994,2.7282255
android.sensor.gyroscope,1538418432040,2087400112030245,-0.30360964,3.5975077,2.5961287
android.sensor.gyroscope,1538418432065,2087400133758007,0.039415985,3.2150662,1.9068816
android.sensor.gyroscope,1538418432082,2087400151981342,-0.89165354,3.8446567,0.64770055
android.sensor.gyroscope,1538418432104,2087400172291084,-2.6142387,4.37624,-0.22584295
android.sensor.gyroscope,1538418432125,2087400193464107,-3.0371616,3.4132113,0.3845722
android.sensor.gyroscope,1538418432146,2087400213441244,-2.0432396,2.5204926,0.05646074
android.sensor.gyroscope,1538418432162,2087400231345152,-1.8376372,2.6451323,-0.4559471
android.sensor.gyroscope,1538418432181,2087400253145050,-2.5141008,2.3436532,-0.4836448
android.sensor.gyroscope,1538418432199,2087400271065937,-2.8251674,0.25673655,0.35580918
android.sensor.gyroscope,1538418432223,2087400292505835,-2.3841345,-1.4434774,0.76168734
android.sensor.gyroscope,1538418432243,2087400311489119,-2.371351,-1.3252294,0.19601464
android.sensor.gyroscope,1538418432264,2087400331384277,-3.053141,-1.0834069,-0.39096397
android.sensor.gyroscope,1538418432282,2087400351300945,-3.6710134,-1.2943357,-0.9736814
android.sensor.gyroscope,1538418432302,2087400371181989,-3.8489177,-1.306054,-1.7630664
android.sensor.gyroscope,1538418432320,2087400390458866,-3.8009794,-1.7012792,-2.4587054
android.sensor.gyroscope,1538418432343,2087400410359389,-3.8073711,-2.5993245,-2.877367
android.sensor.gyroscope,1538418432363,2087400430226005,-3.3002899,-2.407571,-2.8400817
android.sensor.gyroscope,1538418432382,2087400450115591,-1.7992865,-1.5777048,-2.551386
android.sensor.gyroscope,1538418432402,2087400470013770,-0.64237404,-2.1284633,-2.2626908
android.sensor.gyroscope,1538418432420,2087400489914293,-0.43357584,-2.059219,-2.1082227
android.sensor.gyroscope,1538418432442,2087400509764972,-0.14807628,-1.4509344,-1.8024824
android.sensor.gyroscope,1538418432460,2087400529678307,0.8021686,-1.1547819,-1.072754
android.sensor.gyroscope,1538418432480,2087400549597736,1.704475,-0.89271885,-0.19921052
android.sensor.gyroscope,1538418432500,2087400569205082,2.0336518,-0.75742614,0.4431635
android.sensor.gyroscope,1538418432519,2087400589231646,1.9164692,-0.77447087,0.624264
android.sensor.gyroscope,1538418432540,2087400609122638,1.5414847,-0.9321348,0.26419365
android.sensor.gyroscope,1538418432559,2087400629100765,0.52519137,-0.5923051,-0.23223473
android.sensor.gyroscope,1538418432576,2087400648993423,-0.46979594,0.120378554,-0.7009654
android.sensor.gyroscope,1538418432598,2087400668647071,-1.1675655,0.41226992,-0.692443
android.sensor.gyroscope,1538418432618,2087400688723844,-1.2144386,0.05539544,-0.4825795
android.sensor.gyroscope,1538418432636,2087400708439366,-1.0642316,-0.40374753,-0.5134731
android.sensor.gyroscope,1538418432658,2087400728536452,-1.1654348,-0.175774,-0.84478045
android.sensor.gyroscope,1538418432678,2087400748193485,-1.3305559,0.068179004,-1.0684928
android.sensor.gyroscope,1538418432698,2087400768276404,-1.3795595,0.068179004,-1.0109668
android.sensor.gyroscope,1538418432717,2087400788198385,-1.3380129,-0.07137489,-0.6828553
android.sensor.gyroscope,1538418432737,2087400808116512,-1.1345413,0.04154658,-0.36220095
android.sensor.gyroscope,1538418432757,2087400827849691,-0.7307937,0.25247538,-0.20027582
android.sensor.gyroscope,1538418432776,2087400847933182,-0.30680552,-0.07670138,-0.23330003
android.sensor.gyroscope,1538418432796,2087400867648549,-0.20134112,-0.35687447,-0.18536167
android.sensor.gyroscope,1538418432816,2087400887674072,-0.15766394,-0.19921052,0.009587673
android.sensor.gyroscope,1538418432837,2087400907511626,0.05113425,0.02130594,0.23862651
android.sensor.gyroscope,1538418432855,2087400927438138,0.23116943,0.2066676,0.37391922
android.sensor.gyroscope,1538418432876,2087400947286422,0.5145384,-0.07883197,0.38670278
android.sensor.gyroscope,1538418432895,2087400967143194,0.7254672,-0.20347172,0.36539686
android.sensor.gyroscope,1538418432917,2087400987155592,0.5784562,0.02450183,0.16405573
android.sensor.gyroscope,1538418432936,2087401007268251,0.22690825,0.40800872,0.08202787
android.sensor.gyroscope,1538418432957,2087401026922523,-0.0010652969,0.43783703,0.16085984
android.sensor.gyroscope,1538418432975,2087401046923098,0.117182665,0.09374613,0.2056023
android.sensor.gyroscope,1538418432996,2087401066647735,0.2844343,-0.10013791,0.25460598
android.sensor.gyroscope,1538418433016,2087401086617894,0.2759119,0.15340276,0.21732058
android.sensor.gyroscope,1538418433035,2087401106622635,0.16831692,0.24501829,0.07137489
android.sensor.gyroscope,1538418433056,2087401126102950,0.120378554,0.26845482,-0.012783563
android.sensor.gyroscope,1538418433072,2087401145958889,0.2801731,0.07137489,-0.012783563
android.sensor.gyroscope,1538418433092,2087401165855402,0.3856375,-0.040481284,0.022371236
android.sensor.gyroscope,1538418433112,2087401185837435,0.16618632,0.14061919,-0.028763017
android.sensor.gyroscope,1538418433132,2087401205703999,-0.050068956,0.20347172,-0.040481284
android.sensor.gyroscope,1538418433151,2087401225670564,-0.17683929,0.04261188,0.089484945
android.sensor.gyroscope,1538418433174,2087401245803014,-0.43251055,0.029828314,0.12570503
android.sensor.gyroscope,1538418433193,2087401265331557,-0.5134731,0.03089361,0.16192514
