Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1538418515632,2087483684686331,-0.4405331,9.619903,-1.2880806
android.sensor.accelerometer,1538418515645,2087483704532114,-0.39743748,9.701305,-1.3024458
android.sensor.accelerometer,1538418515651,2087483724375971,-0.50278234,9.720459,-1.5993267
android.sensor.accelerometer,1538418515671,2087483744287848,-0.47405192,9.749189,-1.4987702
android.sensor.accelerometer,1538418515693,2087483764204360,-0.33039984,9.744401,-1.2258313
android.sensor.accelerometer,1538418515712,2087483784076549,-0.25378537,9.844957,-1.5035586
android.sensor.accelerometer,1538418515730,2087483803954833,-0.31124622,9.878476,-1.5945383
android.sensor.accelerometer,1538418515750,2087483823785824,-0.31603462,9.892841,-1.3934253
android.sensor.accelerometer,1538418515771,2087483843683222,-0.45968673,9.940725,-1.4221559
android.sensor.accelerometer,1538418515791,2087483863547547,-0.6943185,10.093954,-1.484405
android.sensor.accelerometer,1538418515811,2087483883509893,-0.7422025,10.19451,-1.1923125
android.sensor.accelerometer,1538418515830,2087483903396978,-0.92895025,10.419566,-1.0199299
android.sensor.accelerometer,1538418515852,2087483923278230,-1.2114661,10.802638,-1.0055647
android.sensor.accelerometer,1538418515871,2087483943362815,-1.8483237,11.334151,-0.82360536
android.sensor.accelerometer,1538418515891,2087483963246411,-2.408567,11.654974,-0.7230489
android.sensor.accelerometer,1538418515911,2087483983123288,-3.3183637,11.631032,-0.7278373
android.sensor.accelerometer,1538418515930,2087484002830842,-5.209783,11.36767,-0.5746084
android.sensor.accelerometer,1538418515951,2087484022712094,-7.091625,10.228029,0.20111294
android.sensor.accelerometer,1538418515972,2087484042604023,-8.212111,8.7292595,1.2401965
android.sensor.accelerometer,1538418515990,2087484062518140,-8.983045,7.2544312,2.2505496
android.sensor.accelerometer,1538418516011,2087484082385694,-9.859323,5.985504,2.183512
android.sensor.accelerometer,1538418516032,2087484102470539,-10.0029745,4.912902,2.0207062
android.sensor.accelerometer,1538418516053,2087484122247416,-9.174581,3.6248214,1.8722657
android.sensor.accelerometer,1538418516071,2087484142295179,-7.9631147,2.566584,1.2114661
android.sensor.accelerometer,1538418516091,2087484162169868,-6.564901,2.384625,0.9959879
android.sensor.accelerometer,1538418516111,2087484181866224,-3.7062242,2.3894134,1.6950948
android.sensor.accelerometer,1538418516131,2087484201959508,0.25378537,2.0973208,1.8483237
android.sensor.accelerometer,1538418516150,2087484221572374,3.2704794,2.1643584,1.1300632
android.sensor.accelerometer,1538418516171,2087484241640449,5.4444146,2.1547816,0.4309563
android.sensor.accelerometer,1538418516189,2087484261418524,8.403648,2.5617957,1.4077905
android.sensor.accelerometer,1538418516213,2087484283220922,12.50731,2.930503,1.0965444
android.sensor.accelerometer,1538418516233,2087484303108164,13.589489,3.8259344,-1.4987702
android.sensor.accelerometer,1538418516252,2087484322995145,13.924677,4.4675803,-2.930503
android.sensor.accelerometer,1538418516273,2087484342858793,17.166426,4.175488,-1.2976574
android.sensor.accelerometer,1538418516289,2087484361069107,20.049046,4.548983,-1.9967642
android.sensor.accelerometer,1538418516313,2087484382679890,18.50718,5.650316,-4.9081135
android.sensor.accelerometer,1538418516334,2087484402560049,14.915876,6.50744,-4.5537715
android.sensor.accelerometer,1538418516353,2087484422456926,15.8065195,6.1387334,-2.5378537
android.sensor.accelerometer,1538418516371,2087484442347709,16.184803,6.0621185,-2.4995465
android.sensor.accelerometer,1538418516392,2087484462287086,15.006856,6.7372837,-2.9161377
android.sensor.accelerometer,1538418516412,2087484482148963,11.439496,7.3310456,-1.9440918
android.sensor.accelerometer,1538418516431,2087484502000527,7.6470804,6.9767036,1.0342951
android.sensor.accelerometer,1538418516452,2087484521888863,5.2959743,6.4068837,6.38773
android.sensor.accelerometer,1538418516473,2087484541806052,1.3790601,7.398083,9.203311
android.sensor.accelerometer,1538418516493,2087484561661575,-1.2593501,8.844181,8.259995
android.sensor.accelerometer,1538418516512,2087484581552098,-0.8714894,11.056423,7.2304893
android.sensor.accelerometer,1538418516530,2087484601450850,1.2689269,10.965444,9.3182335
android.sensor.accelerometer,1538418516554,2087484621326372,-0.1388637,10.726024,9.030929
android.sensor.accelerometer,1538418516567,2087484639241478,-3.9121256,10.936713,7.129933
android.sensor.accelerometer,1538418516586,2087484658951584,-5.731719,11.9374895,6.4068837
android.sensor.accelerometer,1538418516611,2087484679026743,-4.606444,13.761871,6.9719152
android.sensor.accelerometer,1538418516627,2087484698989974,-2.6288335,12.799402,6.766014
android.sensor.accelerometer,1538418516647,2087484718875132,-2.327164,11.410766,5.9663506
android.sensor.accelerometer,1538418516666,2087484738777061,-3.8115692,10.46745,5.7843914
android.sensor.accelerometer,1538418516685,2087484758394615,-7.8146744,11.645397,7.8529816
android.sensor.accelerometer,1538418516707,2087484778470867,-6.3446345,11.453861,6.7229185
android.sensor.accelerometer,1538418516725,2087484798213369,-3.8977604,11.621455,5.363012
android.sensor.accelerometer,1538418516746,2087484818251757,-1.6759412,12.100295,5.4300494
android.sensor.accelerometer,1538418516766,2087484838142696,-0.12928689,12.425907,5.875371
android.sensor.accelerometer,1538418516791,2087484858115042,0.320823,12.6222315,7.16824
android.sensor.accelerometer,1538418516809,2087484877734731,1.934515,12.876017,10.28549
android.sensor.accelerometer,1538418516824,2087484897771765,4.43885,13.297397,10.936713
android.sensor.accelerometer,1538418516845,2087484917668850,6.6271505,13.579912,8.2169
android.sensor.accelerometer,1538418516865,2087484937612706,7.872135,13.273455,7.086837
android.sensor.accelerometer,1538418516888,2087484957501875,8.623915,12.636597,8.456321
android.sensor.accelerometer,1538418516904,2087484977160835,10.654198,11.664551,8.686164
android.sensor.accelerometer,1538418516925,2087484997329327,12.382812,10.6637745,7.1347213
android.sensor.accelerometer,1538418516944,2087485017092922,12.579136,10.46745,6.50744
android.sensor.accelerometer,1538418516964,2087485037044643,12.684481,10.702082,6.71813
android.sensor.accelerometer,1538418516985,2087485056864228,12.349293,9.974244,6.6893997
android.sensor.accelerometer,1538418517003,2087485076761991,11.33894,8.475474,6.4164605
android.sensor.accelerometer,1538418517024,2087485096702878,9.816227,7.1730285,6.8569937
android.sensor.accelerometer,1538418517044,2087485116614599,7.6710224,6.4020953,7.311892
android.sensor.accelerometer,1538418517064,2087485136525851,6.3781533,6.1866174,6.9958572
android.sensor.accelerometer,1538418517087,2087485156433613,5.2289367,6.301539,5.57849
android.sensor.accelerometer,1538418517106,2087485176230699,3.1603463,6.196194,4.357447
android.sensor.accelerometer,1538418517122,2087485196050909,2.6910827,6.3781533,3.86903
android.sensor.accelerometer,1538418517142,2087485215995182,2.9735985,6.6367273,5.080496
android.sensor.accelerometer,1538418517164,2087485235925704,3.4811692,6.2967505,5.4683566
android.sensor.accelerometer,1538418517183,2087485255830915,3.347094,5.93762,6.4020953
android.sensor.accelerometer,1538418517203,2087485275707688,3.86903,5.861006,8.714894
android.sensor.accelerometer,1538418517222,2087485295557533,3.7684734,4.3718123,9.878476
android.sensor.accelerometer,1538418517242,2087485315487796,2.896984,4.912902,9.112331
android.sensor.accelerometer,1538418517262,2087485335318787,1.5035586,5.631162,6.579266
android.sensor.accelerometer,1538418517283,2087485355297383,-0.81402856,7.4124484,5.104438
android.sensor.accelerometer,1538418517303,2087485375246187,0.58897364,7.2352777,4.285621
android.sensor.accelerometer,1538418517323,2087485395135199,2.7150247,5.995081,4.213795
android.sensor.accelerometer,1538418517343,2087485415021243,1.340753,6.8665705,5.3199162
android.sensor.accelerometer,1538418517363,2087485434914578,-0.4213795,7.0245876,5.9902925
android.sensor.accelerometer,1538418517383,2087485454777549,-0.009576807,6.646304,5.9902925
android.sensor.accelerometer,1538418517402,2087485474591822,0.91458505,7.0341644,5.559336
android.sensor.accelerometer,1538418517421,2087485494261772,-0.10055647,7.536947,5.48751
android.sensor.accelerometer,1538418517442,2087485514403701,0.25857377,7.2448545,6.2584434
android.sensor.accelerometer,1538418517461,2087485534038078,1.0726024,7.6710224,6.0716953
android.sensor.accelerometer,1538418517481,2087485554096882,1.3934253,8.1642275,5.6646814
android.sensor.accelerometer,1538418517500,2087485574034124,1.1444284,8.346188,5.386954
android.sensor.accelerometer,1538418517520,2087485593748761,0.51714754,8.911219,5.3103395
