Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1538418448771,2087416808507013,0.50757074,9.844957,-1.2018893
android.sensor.accelerometer,1538418448771,2087416828720296,0.33039984,9.864111,-1.8052281
android.sensor.accelerometer,1538418448783,2087416848286131,0.038307227,9.801862,-1.8387469
android.sensor.accelerometer,1538418448796,2087416868543008,0.062249243,9.68694,-1.2354081
android.sensor.accelerometer,1538418448815,2087416888209052,0.60812724,9.701305,-1.13964
android.sensor.accelerometer,1538418448826,2087416898989261,0.60333884,9.696517,-1.2401965
android.sensor.accelerometer,1538418448844,2087416918102753,0.21547815,9.749189,-1.163582
android.sensor.accelerometer,1538418448864,2087416937991453,0.12928689,9.572019,-0.92895025
android.sensor.accelerometer,1538418448887,2087416957846559,0.2681506,9.691729,-0.9576807
android.sensor.accelerometer,1538418448905,2087416977711926,0.16759412,9.662998,-1.3694834
android.sensor.accelerometer,1538418448925,2087416997449896,-0.10534488,9.615114,-1.4030021
android.sensor.accelerometer,1538418448945,2087417017564846,-0.17238252,9.605537,-1.3790601
android.sensor.accelerometer,1538418448965,2087417037455004,0.11492168,9.528923,-1.163582
android.sensor.accelerometer,1538418448986,2087417057387611,0.36870706,9.653421,-1.2545617
android.sensor.accelerometer,1538418449006,2087417077275269,0.63206923,9.80665,-1.484405
android.sensor.accelerometer,1538418449025,2087417097103864,0.47884035,9.873688,-1.508347
android.sensor.accelerometer,1538418449045,2087417117061991,0.33518824,9.849746,-1.2401965
android.sensor.accelerometer,1538418449064,2087417136940535,0.320823,9.787497,-1.3263878
android.sensor.accelerometer,1538418449084,2087417156844964,0.14844051,9.821015,-1.3742718
android.sensor.accelerometer,1538418449104,2087417176724029,0.033518825,9.753978,-1.0486604
android.sensor.accelerometer,1538418449124,2087417196544656,0.038307227,9.586384,-0.7182605
android.sensor.accelerometer,1538418449145,2087417216255803,0.39743748,9.524135,-0.6799533
android.sensor.accelerometer,1538418449164,2087417236390962,0.82360536,9.476251,-0.91937345
android.sensor.accelerometer,1538418449184,2087417256250547,1.6089035,9.437943,-0.7565677
android.sensor.accelerometer,1538418449204,2087417276258882,2.8299465,9.485827,-1.0726024
android.sensor.accelerometer,1538418449223,2087417296010343,4.189853,9.332599,-1.3694834
android.sensor.accelerometer,1538418449243,2087417315700865,4.9559975,9.835381,-0.19632454
android.sensor.accelerometer,1538418449264,2087417335892013,7.632715,9.56723,0.5746084
android.sensor.accelerometer,1538418449284,2087417355746859,9.572019,8.6334915,-0.47405192
android.sensor.accelerometer,1538418449304,2087417375627746,9.495404,8.738836,-1.4891934
android.sensor.accelerometer,1538418449326,2087417395554207,9.270349,8.834604,-1.2880806
android.sensor.accelerometer,1538418449344,2087417415441136,9.974244,8.485051,-0.48362875
android.sensor.accelerometer,1538418449364,2087417435326867,10.884041,8.66701,-0.8810662
android.sensor.accelerometer,1538418449384,2087417455222963,10.371682,8.968679,-1.8148049
android.sensor.accelerometer,1538418449404,2087417475104944,10.43872,9.160215,-1.6424223
android.sensor.accelerometer,1538418449423,2087417495024790,11.066,9.351752,-1.292869
android.sensor.accelerometer,1538418449443,2087417514895260,11.243171,9.849746,-1.6184803
android.sensor.accelerometer,1538418449463,2087417534771564,9.9550905,10.0987425,-1.9919758
android.sensor.accelerometer,1538418449483,2087417554664431,7.335834,9.883265,0.24420857
android.sensor.accelerometer,1538418449503,2087417574550891,3.8786068,9.868899,4.4196963
android.sensor.accelerometer,1538418449522,2087417594463654,0.6799533,9.787497,7.3645644
android.sensor.accelerometer,1538418449541,2087417614227874,-3.347094,10.371682,7.991845
android.sensor.accelerometer,1538418449564,2087417634043137,-7.422025,10.79785,7.9104424
android.sensor.accelerometer,1538418449582,2087417653786524,-11.798626,9.768343,8.169016
android.sensor.accelerometer,1538418449602,2087417673934547,-15.361198,8.394072,9.509769
android.sensor.accelerometer,1538418449622,2087417693818091,-18.641254,7.8625584,12.339716
android.sensor.accelerometer,1538418449642,2087417713730280,-17.937359,7.3789296,14.618996
android.sensor.accelerometer,1538418449662,2087417733727365,-15.576676,6.6175733,9.14585
android.sensor.accelerometer,1538418449681,2087417753511586,-14.058752,6.2488666,2.9592333
android.sensor.accelerometer,1538418449701,2087417773412109,-13.024457,5.3247046,1.0582372
