Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1538418441572,2087409618813640,-0.067113705,0.026632423,0.0063917814
android.sensor.gyroscope,1538418441572,2087409638729944,-0.059656627,0.033024207,0.02769772
android.sensor.gyroscope,1538418441588,2087409658649685,0.020240642,-0.005326485,0.033024207
android.sensor.gyroscope,1538418441606,2087409678342916,0.057526033,0.019175345,0.0074570784
android.sensor.gyroscope,1538418441626,2087409698474845,0.07883197,-0.0042611877,-0.017044751
android.sensor.gyroscope,1538418441645,2087409718281410,0.035154797,0.068179004,0.031958908
android.sensor.gyroscope,1538418441665,2087409738168547,0.01065297,0.017044751,0.018110048
android.sensor.gyroscope,1538418441686,2087409758176726,0.0031958907,-0.07350549,-0.025567126
android.sensor.gyroscope,1538418441705,2087409778025426,-0.043677174,0.0010652969,-0.023436533
android.sensor.gyroscope,1538418441725,2087409797913345,-0.05113425,0.046873067,-0.0010652969
android.sensor.gyroscope,1538418441745,2087409817820899,-0.028763017,0.04154658,0.02450183
android.sensor.gyroscope,1538418441765,2087409837701161,0.026632423,0.04793836,0.014914157
android.sensor.gyroscope,1538418441787,2087409857580174,0.07563608,0.067113705,-0.017044751
android.sensor.gyroscope,1538418441806,2087409877494915,0.054330144,0.012783563,-0.058591332
android.sensor.gyroscope,1538418441825,2087409897393095,-0.08202787,0.05646074,-0.092680834
android.sensor.gyroscope,1538418441845,2087409917190180,-0.14274979,0.122509144,-0.031958908
android.sensor.gyroscope,1538418441864,2087409937096276,-0.058591332,0.044742472,0.0021305939
android.sensor.gyroscope,1538418441884,2087409957002788,-0.0085223755,0.01384886,-0.026632423
android.sensor.gyroscope,1538418441905,2087409976986488,-0.026632423,0.06178722,-0.031958908
android.sensor.gyroscope,1538418441925,2087409996852948,-0.01065297,0.08202787,-0.015979454
android.sensor.gyroscope,1538418441944,2087410016707429,0.023436533,0.070309594,0.034089502
android.sensor.gyroscope,1538418441966,2087410036765192,0.009587673,0.094811425,0.11505207
android.sensor.gyroscope,1538418441987,2087410056639152,0.0063917814,0.17683929,0.18110047
android.sensor.gyroscope,1538418442004,2087410076149935,0.046873067,0.2077329,0.23330003
android.sensor.gyroscope,1538418442026,2087410096482750,0.113986775,0.16831692,0.312132
android.sensor.gyroscope,1538418442046,2087410116395252,0.18749227,0.044742472,0.32278496
android.sensor.gyroscope,1538418442065,2087410136261972,0.11185618,0.14061919,0.19281875
android.sensor.gyroscope,1538418442086,2087410155751193,-0.11185618,0.4452941,0.07670138
android.sensor.gyroscope,1538418442105,2087410175591560,-0.11292148,0.32278496,0.07670138
android.sensor.gyroscope,1538418442130,2087410197447187,0.16405573,-0.21732058,-0.0063917814
android.sensor.gyroscope,1538418442146,2087410217577085,0.18749227,-0.49216717,-0.09800732
android.sensor.gyroscope,1538418442168,2087410236992659,0.034089502,-0.54649734,-0.19601464
android.sensor.gyroscope,1538418442185,2087410256982713,0.23330003,-0.9715508,-0.33769912
android.sensor.gyroscope,1538418442205,2087410275327038,0.4548818,-1.424302,-0.43677175
android.sensor.gyroscope,1538418442230,2087410297127978,0.28869548,-1.5436152,-0.5688686
android.sensor.gyroscope,1538418442248,2087410316970688,0.3078708,-1.940971,-0.65196174
android.sensor.gyroscope,1538418442270,2087410336822096,0.67220235,-2.43953,-0.760622
android.sensor.gyroscope,1538418442289,2087410356728088,0.7670138,-2.7282255,-0.85117227
android.sensor.gyroscope,1538418442307,2087410376615590,0.37285393,-2.8209064,-1.0067056
android.sensor.gyroscope,1538418442322,2087410394636634,0.07457078,-3.3205307,-1.1878061
android.sensor.gyroscope,1538418442345,2087410414502365,0.22477765,-4.146136,-1.1739572
android.sensor.gyroscope,1538418442363,2087410434672888,0.059656627,-3.9863412,-1.5191134
android.sensor.gyroscope,1538418442385,2087410454436015,-0.7244019,-2.415028,-1.9899746
android.sensor.gyroscope,1538418442406,2087410474196537,-0.4825795,-2.0112805,-2.0176723
android.sensor.gyroscope,1538418442423,2087410494179456,0.30147904,-2.3830693,-1.6171207
android.sensor.gyroscope,1538418442443,2087410513713364,0.6658106,-1.668255,-1.0237503
android.sensor.gyroscope,1538418442462,2087410533904929,0.9672896,-0.7542302,-0.4431635
android.sensor.gyroscope,1538418442482,2087410553751024,1.1004517,-0.33769912,0.09055024
android.sensor.gyroscope,1538418442502,2087410573590610,1.0908641,-0.39842105,0.46766534
android.sensor.gyroscope,1538418442521,2087410593496393,0.9097636,-0.3057402,0.5198649
android.sensor.gyroscope,1538418442548,2087410615271291,0.3142626,0.34089503,0.5401055
android.sensor.gyroscope,1538418442568,2087410635173689,0.0063917814,0.56780326,0.8703476
android.sensor.gyroscope,1538418442586,2087410655069003,0.09587672,0.011718267,1.3145764
android.sensor.gyroscope,1538418442602,2087410673318901,-0.034089502,-0.06285252,1.4328244
android.sensor.gyroscope,1538418442626,2087410692963799,-0.38670278,0.64237404,1.4807627
android.sensor.gyroscope,1538418442648,2087410714718957,-0.5358444,1.0237503,1.6767774
android.sensor.gyroscope,1538418442667,2087410734618126,-0.7339896,1.2623769,1.7300422
android.sensor.gyroscope,1538418442688,2087410754533857,-0.99392205,1.553203,1.7662623
android.sensor.gyroscope,1538418442703,2087410774397140,-0.81282157,1.6032718,1.9420363
android.sensor.gyroscope,1538418442727,2087410794299434,-0.4932325,1.4051267,2.1977077
android.sensor.gyroscope,1538418442747,2087410814171936,-0.7840586,2.216883,1.7982212
android.sensor.gyroscope,1538418442767,2087410834078136,-1.5180482,3.2843103,1.2943357
android.sensor.gyroscope,1538418442786,2087410853980742,-1.531897,3.4355826,1.3699719
android.sensor.gyroscope,1538418442807,2087410873853452,-0.6967042,2.9913538,1.5755742
android.sensor.gyroscope,1538418442819,2087410891875068,-0.25886714,3.142626,1.2389404
android.sensor.gyroscope,1538418442844,2087410913332831,-0.8085604,3.6827314,0.6370476
android.sensor.gyroscope,1538418442864,2087410931394083,-1.2613115,3.6145525,0.64770055
android.sensor.gyroscope,1538418442884,2087410951505543,-1.2400056,3.0020068,0.65089643
android.sensor.gyroscope,1538418442905,2087410973301952,-1.3529271,2.7282255,0.5603462
android.sensor.gyroscope,1538418442925,2087410994025183,-1.697018,2.095439,0.4516859
android.sensor.gyroscope,1538418442943,2087411011789768,-1.8355067,1.209112,0.8064298
android.sensor.gyroscope,1538418442964,2087411031721072,-1.13028,0.65089643,1.1089741
