Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1538418591612,2087559648458586,1.8148049,3.2465374,9.165004
android.sensor.accelerometer,1538418591613,2087559668751609,1.8483237,3.2225955,9.059659
android.sensor.accelerometer,1538418591624,2087559688236194,1.8770541,3.1172507,9.150639
android.sensor.accelerometer,1538418591638,2087559709804165,1.757344,3.1842883,9.251195
android.sensor.accelerometer,1538418591655,2087559728193646,1.9680338,3.2034419,9.083601
android.sensor.accelerometer,1538418591676,2087559748312606,1.934515,3.2513258,9.069236
android.sensor.accelerometer,1538418591696,2087559768008963,1.9871874,3.2752678,9.131485
android.sensor.accelerometer,1538418591717,2087559788050423,2.0111294,3.2513258,8.920795
android.sensor.accelerometer,1538418591734,2087559807669487,1.9728222,3.1507695,9.107543
android.sensor.accelerometer,1538418591754,2087559827824437,2.0446482,3.098097,9.289502
android.sensor.accelerometer,1538418591774,2087559847554960,1.8004397,3.0597897,9.275137
android.sensor.accelerometer,1538418591794,2087559867638035,1.6759412,3.1507695,9.093178
android.sensor.accelerometer,1538418591817,2087559887260172,1.7812861,3.3039982,8.987833
android.sensor.accelerometer,1538418591835,2087559907174706,1.9297266,3.241749,9.097966
android.sensor.accelerometer,1538418591855,2087559926888822,1.9776106,3.217807,9.054871
android.sensor.accelerometer,1538418591876,2087559946947053,2.0446482,3.3423057,8.825027
android.sensor.accelerometer,1538418591895,2087559966691118,2.1739352,3.7301662,9.050082
android.sensor.accelerometer,1538418591915,2087559986731328,2.9640217,5.195418,11.085154
android.sensor.accelerometer,1538418591935,2087560006442788,5.2624555,7.350199,14.087482
android.sensor.accelerometer,1538418591956,2087560026528936,9.299079,8.724471,17.492037
android.sensor.accelerometer,1538418591977,2087560046215605,14.389153,8.939949,23.707386
android.sensor.accelerometer,1538418591997,2087560066280919,14.618996,7.417237,26.522966
android.sensor.accelerometer,1538418592014,2087560086207588,17.199945,6.3206925,19.991585
android.sensor.accelerometer,1538418592038,2087560106298163,17.76019,5.415684,10.34774
android.sensor.accelerometer,1538418592054,2087560126030404,14.015656,3.1268275,3.3806129
android.sensor.accelerometer,1538418592075,2087560146214834,9.016563,-0.33039984,0.92895025
android.sensor.accelerometer,1538418592093,2087560165839523,4.4723687,-5.2480903,1.6950948
android.sensor.accelerometer,1538418592115,2087560185941244,0.0,-9.524135,4.5777135
android.sensor.accelerometer,1538418592136,2087560205814683,-4.7405195,-13.196839,7.469909
android.sensor.accelerometer,1538418592156,2087560226908904,-15.002068,-16.49605,8.858546
android.sensor.accelerometer,1538418592175,2087560246928646,-28.840553,-19.699492,9.184157
android.sensor.accelerometer,1538418592195,2087560266913960,-35.166035,-21.83512,11.659762
android.sensor.accelerometer,1538418592215,2087560286909952,-27.796682,-25.124752,10.01734
android.sensor.accelerometer,1538418592239,2087560306929016,-16.04594,-27.356148,7.1347213
android.sensor.accelerometer,1538418592257,2087560326759539,-7.216124,-25.134329,-0.11492168
