Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1538418625491,2087593548525869,-0.0074570784,0.017044751,0.015979454
android.sensor.gyroscope,1538418625503,2087593568236652,-0.034089502,0.04154658,0.017044751
android.sensor.gyroscope,1538418625516,2087593588362539,-0.05113425,0.0063917814,-0.0010652969
android.sensor.gyroscope,1538418625536,2087593608222697,-0.011718267,-0.015979454,0.0085223755
android.sensor.gyroscope,1538418625555,2087593628115876,0.031958908,-0.0042611877,0.034089502
android.sensor.gyroscope,1538418625575,2087593648025149,0.045807768,-0.01384886,0.029828314
android.sensor.gyroscope,1538418625594,2087593667888433,0.01384886,-0.02450183,0.0042611877
android.sensor.gyroscope,1538418625616,2087593687774528,-0.025567126,-0.0031958907,-0.0031958907
android.sensor.gyroscope,1538418625635,2087593707671614,-0.035154797,0.019175345,0.0021305939
android.sensor.gyroscope,1538418625655,2087593727560105,0.0010652969,-0.03089361,0.01065297
android.sensor.gyroscope,1538418625674,2087593747447711,-0.0021305939,-0.03089361,0.014914157
android.sensor.gyroscope,1538418625696,2087593767205682,-0.034089502,0.0042611877,0.028763017
android.sensor.gyroscope,1538418625716,2087593787205528,-0.04261188,0.0042611877,0.023436533
android.sensor.gyroscope,1538418625736,2087593807204853,-0.03835069,-0.015979454,-0.0074570784
android.sensor.gyroscope,1538418625756,2087593826988240,-0.04793836,-0.035154797,-0.0031958907
android.sensor.gyroscope,1538418625776,2087593846977773,-0.08522376,-0.017044751,0.02130594
android.sensor.gyroscope,1538418625796,2087593866826838,-0.13422741,-0.0031958907,0.0085223755
android.sensor.gyroscope,1538418625816,2087593886751840,-0.04900366,-0.10759499,-0.028763017
android.sensor.gyroscope,1538418625835,2087593906546113,0.14381509,-0.31106672,-0.0031958907
android.sensor.gyroscope,1538418625855,2087593926444865,0.15553336,-0.3920293,0.017044751
android.sensor.gyroscope,1538418625875,2087593946531377,0.094811425,-0.5901745,-0.04154658
android.sensor.gyroscope,1538418625894,2087593966213775,0.1747087,-1.3806248,-0.13529271
android.sensor.gyroscope,1538418625914,2087593986147214,0.49749365,-2.5673656,-0.33024204
android.sensor.gyroscope,1538418625935,2087594006015029,1.072754,-3.652903,-1.0237503
android.sensor.gyroscope,1538418625954,2087594025878520,2.083721,-5.097446,-2.7111807
android.sensor.gyroscope,1538418625975,2087594046091387,3.7977836,-7.120445,-4.2260327
android.sensor.gyroscope,1538418625996,2087594065786753,5.033528,-7.913026,-5.451124
android.sensor.gyroscope,1538418626015,2087594085600453,4.815142,-6.658106,-6.6559753
android.sensor.gyroscope,1538418626033,2087594105533737,4.1376133,-4.942978,-7.4474907
android.sensor.gyroscope,1538418626055,2087594126974155,3.6507726,-4.2366858,-7.8693485
android.sensor.gyroscope,1538418626078,2087594146943012,3.3034859,-4.588234,-8.16337
android.sensor.gyroscope,1538418626095,2087594166978118,2.719703,-4.4880958,-7.738317
android.sensor.gyroscope,1538418626116,2087594186941661,1.9899746,-4.115242,-6.3576922
android.sensor.gyroscope,1538418626135,2087594206801663,1.2016549,-2.8049269,-4.527512
android.sensor.gyroscope,1538418626155,2087594226701978,0.53264844,-0.8671517,-2.4885337
android.sensor.gyroscope,1538418626174,2087594246583334,1.0013791,-0.40055165,0.6157416
android.sensor.gyroscope,1538418626194,2087594266492867,2.3063679,-0.07563608,4.4966183
android.sensor.gyroscope,1538418626214,2087594286360994,3.0787082,0.9321348,8.257116
android.sensor.gyroscope,1538418626234,2087594306258600,3.3269224,2.2669518,11.592562
android.sensor.gyroscope,1538418626254,2087594326136623,2.5492556,4.4731817,15.40952
android.sensor.gyroscope,1538418626274,2087594346090427,-0.043677174,7.548694,18.41792
android.sensor.gyroscope,1538418626294,2087594365913450,-5.259371,11.647957,16.263887
android.sensor.gyroscope,1538418626317,2087594385797931,-8.307185,4.2718406,7.1492076
android.sensor.gyroscope,1538418626334,2087594405695902,-1.8951633,-7.7830596,1.4264326
android.sensor.gyroscope,1538418626354,2087594425919810,1.8418984,1.9558852,-0.44103295
android.sensor.gyroscope,1538418626373,2087594445522729,1.0471869,5.261502,-2.536472
android.sensor.gyroscope,1538418626391,2087594463626168,1.2900746,1.4637179,-5.0953155
android.sensor.gyroscope,1538418626411,2087594483513514,1.9942359,-2.2190135,-8.117562
android.sensor.gyroscope,1538418626433,2087594505144349,1.4541303,-3.774347,-9.929633
android.sensor.gyroscope,1538418626453,2087594525023258,-0.24821419,-3.7594328,-10.576268
android.sensor.gyroscope,1538418626472,2087594544937999,-2.1859894,-2.536472,-11.645826
android.sensor.gyroscope,1538418626493,2087594564816699,-1.7534788,-1.5137869,-11.255927
android.sensor.gyroscope,1538418626513,2087594584685659,3.7871306,-4.2100534,-2.898673
android.sensor.gyroscope,1538418626530,2087594602785765,9.379939,-2.8475387,7.2461495
android.sensor.gyroscope,1538418626550,2087594622341028,6.9127116,4.16105,13.554838
android.sensor.gyroscope,1538418626571,2087594642399415,-1.0397298,9.607913,16.08705
android.sensor.gyroscope,1538418626588,2087594662085407,-6.6314735,10.401559,12.48528
android.sensor.gyroscope,1538418626609,2087594682104523,-2.9977455,-3.9298804,3.4696722
android.sensor.gyroscope,1538418626628,2087594701976400,2.970048,-6.165939,0.1725781
android.sensor.gyroscope,1538418626648,2087594721966350,0.43464115,3.9277499,-1.4136491
android.sensor.gyroscope,1538418626669,2087594741862290,-1.0908641,3.9650352,-3.404689
android.sensor.gyroscope,1538418626689,2087594761769896,0.3845722,-0.25780186,-5.9986873
android.sensor.gyroscope,1538418626710,2087594781667658,1.6192514,-2.5631044,-8.30612
android.sensor.gyroscope,1538418626728,2087594801553025,1.1696961,-3.2949634,-9.36396
android.sensor.gyroscope,1538418626748,2087594821401933,-1.1675655,-2.7793598,-9.485404
android.sensor.gyroscope,1538418626769,2087594841326049,-3.2512863,-1.9793217,-9.332001
android.sensor.gyroscope,1538418626791,2087594861154333,-2.3745468,-0.82027864,-7.703162
android.sensor.gyroscope,1538418626807,2087594880857512,2.2254052,-1.6480143,-0.48151422
android.sensor.gyroscope,1538418626829,2087594901040743,6.289513,-0.82453984,7.4634705
android.sensor.gyroscope,1538418626849,2087594920907776,5.0889235,2.9263706,12.067683
android.sensor.gyroscope,1538418626872,2087594942397778,0.6604841,6.397108,14.663813
android.sensor.gyroscope,1538418626893,2087594962276686,-4.3858275,9.109354,14.640376
android.sensor.gyroscope,1538418626912,2087594982393720,-6.2309217,3.7700858,7.903438
android.sensor.gyroscope,1538418626931,2087595000414190,-1.7801112,-5.5768294,1.4839586
android.sensor.gyroscope,1538418626951,2087595022170130,1.4637179,-0.116117366,-1.8610737
android.sensor.gyroscope,1538418626970,2087595042046851,0.800038,4.079022,-3.5037615
android.sensor.gyroscope,1538418626990,2087595061949717,0.9704855,1.6448184,-4.9813285
android.sensor.gyroscope,1538418627009,2087595081853105,1.7129974,-1.043991,-7.1044655
android.sensor.gyroscope,1538418627031,2087595101795086,1.9569504,-2.4661624,-8.577771
android.sensor.gyroscope,1538418627053,2087595121620973,1.0706234,-3.1756501,-8.945298
android.sensor.gyroscope,1538418627071,2087595141492225,-0.86289054,-2.7165072,-9.124269
android.sensor.gyroscope,1538418627090,2087595161322383,-1.9782565,-1.9612117,-8.904817
