Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1538418755152,2087723200248108,8.178593,-6.5218053,-0.89064306
android.sensor.accelerometer,1538418755163,2087723220378839,8.231265,-6.540959,-1.8339585
android.sensor.accelerometer,1538418755167,2087723239855456,8.303091,-6.339846,-2.1739352
android.sensor.accelerometer,1538418755187,2087723260083114,8.892065,-6.469133,-1.7621324
android.sensor.accelerometer,1538418755208,2087723279819418,8.90643,-6.315904,-0.6943185
android.sensor.accelerometer,1538418755227,2087723299878899,8.523358,-6.3781533,-0.4357447
android.sensor.accelerometer,1538418755247,2087723319589787,8.087613,-6.3446345,-1.4030021
android.sensor.accelerometer,1538418755268,2087723339782601,8.1402855,-5.659893,-2.078167
android.sensor.accelerometer,1538418755286,2087723359298853,8.887277,-5.5641246,-3.3135753
android.sensor.accelerometer,1538418755308,2087723379437657,9.854534,-5.9567738,-3.2800562
android.sensor.accelerometer,1538418755327,2087723399084170,10.103531,-6.033388,-2.6479871
android.sensor.accelerometer,1538418755347,2087723419215734,10.46745,-5.803545,-2.6719291
android.sensor.accelerometer,1538418755369,2087723439116153,10.989386,-5.6551046,-3.787627
android.sensor.accelerometer,1538418755387,2087723459053134,11.851298,-5.813122,-4.4436383
android.sensor.accelerometer,1538418755406,2087723478767250,12.167333,-6.0142345,-4.4244847
android.sensor.accelerometer,1538418755426,2087723498821679,11.587936,-5.90889,-5.281609
android.sensor.accelerometer,1538418755447,2087723518518765,10.218452,-6.205771,-6.646304
android.sensor.accelerometer,1538418755466,2087723538544913,8.959103,-6.0142345,-7.6710224
android.sensor.accelerometer,1538418755486,2087723558234810,9.44752,-6.0764837,-7.9966335
android.sensor.accelerometer,1538418755505,2087723578325802,9.667787,-6.4787097,-7.1490865
android.sensor.accelerometer,1538418755525,2087723598015387,8.236053,-6.0046577,-6.0525417
android.sensor.accelerometer,1538418755546,2087723618156014,6.622362,-5.104438,-5.3582234
android.sensor.accelerometer,1538418755566,2087723638039766,6.167464,-4.582502,-5.0182467
android.sensor.accelerometer,1538418755587,2087723658109924,6.325481,-4.381389,-4.343082
