Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1538418997572,2087965616529966,0.33039984,9.854534,0.5554548
android.sensor.accelerometer,1538418997572,2087965636478249,0.40701428,9.878476,0.5602432
android.sensor.accelerometer,1538418997584,2087965656317209,0.56982,10.041282,0.7422025
android.sensor.accelerometer,1538418997603,2087965675982680,0.7278373,9.940725,0.6560113
android.sensor.accelerometer,1538418997622,2087965695864192,0.5793968,9.89763,0.6368576
android.sensor.accelerometer,1538418997642,2087965715872475,0.35913026,9.840169,0.6799533
android.sensor.accelerometer,1538418997664,2087965735632269,0.37349546,9.768343,0.80445176
android.sensor.accelerometer,1538418997689,2087965755522584,0.545878,9.840169,0.8858546
android.sensor.accelerometer,1538418997702,2087965775516700,0.521936,9.816227,0.51714754
android.sensor.accelerometer,1538418997721,2087965795288265,0.29209262,9.706094,0.35913026
android.sensor.accelerometer,1538418997741,2087965815343683,0.20111294,9.600749,0.80924016
android.sensor.accelerometer,1538418997761,2087965835234154,0.33518824,9.605537,0.8523358
android.sensor.accelerometer,1538418997782,2087965855226812,0.24899697,9.65821,0.79487497
android.sensor.accelerometer,1538418997803,2087965875311241,0.12928689,9.763555,0.62249243
android.sensor.accelerometer,1538418997823,2087965894969733,0.2825158,9.787497,0.37828386
android.sensor.accelerometer,1538418997842,2087965914636714,0.60812724,9.797073,0.44532153
android.sensor.accelerometer,1538418997863,2087965934740310,0.6751649,9.868899,0.5410896
android.sensor.accelerometer,1538418997883,2087965954670780,0.6560113,10.04607,0.545878
android.sensor.accelerometer,1538418997904,2087965974509272,0.6464345,10.146626,0.36870706
android.sensor.accelerometer,1538418997923,2087965994396930,0.46447513,9.883265,0.5554548
android.sensor.accelerometer,1538418997942,2087966014290109,0.11971009,9.639056,0.8714894
android.sensor.accelerometer,1538418997962,2087966034473705,0.18195933,9.734824,0.9624691
android.sensor.accelerometer,1538418997982,2087966054153342,0.23942018,9.801862,1.3455414
android.sensor.accelerometer,1538418998002,2087966073941105,0.24899697,9.959879,1.3838485
android.sensor.accelerometer,1538418998023,2087966094023607,0.0047884034,9.739613,1.0486604
android.sensor.accelerometer,1538418998042,2087966113741057,0.08619126,9.801862,0.94331545
android.sensor.accelerometer,1538418998061,2087966133560017,0.4405331,9.734824,0.641646
android.sensor.accelerometer,1538418998089,2087966153287623,0.50278234,9.950302,1.3024458
android.sensor.accelerometer,1538418998100,2087966173313771,0.5410896,10.060435,1.4508862
android.sensor.accelerometer,1538418998120,2087966193284867,0.6607997,10.160992,1.2737153
android.sensor.accelerometer,1538418998140,2087966213280390,0.7565677,10.419566,1.5275006
android.sensor.accelerometer,1538418998160,2087966233017319,1.5466543,10.577583,1.484405
android.sensor.accelerometer,1538418998180,2087966252876227,2.3175871,10.79785,1.9632454
android.sensor.accelerometer,1538418998200,2087966272772270,2.2649148,10.362105,2.930503
android.sensor.accelerometer,1538418998220,2087966292732689,1.3215994,10.261548,3.3135753
android.sensor.accelerometer,1538418998240,2087966312625139,0.23942018,9.974244,1.1444284
android.sensor.accelerometer,1538418998260,2087966332577329,-0.62249243,9.911995,-0.6751649
android.sensor.accelerometer,1538418998280,2087966352402174,-0.81881696,9.624691,-1.2018893
android.sensor.accelerometer,1538418998300,2087966372293166,-1.163582,9.370906,-0.40701428
android.sensor.accelerometer,1538418998322,2087966392181189,-1.6376339,8.892065,0.31603462
android.sensor.accelerometer,1538418998339,2087966412076451,-2.4612393,8.671799,0.6560113
android.sensor.accelerometer,1538418998359,2087966431891297,-2.4277205,8.652645,0.272939
android.sensor.accelerometer,1538418998379,2087966451838330,-2.1787236,8.628703,-0.5746084
android.sensor.accelerometer,1538418998399,2087966471661405,-2.408567,8.805874,-0.4357447
android.sensor.accelerometer,1538418998420,2087966491619011,-1.7525556,9.054871,-0.05746084
android.sensor.accelerometer,1538418998439,2087966511519742,-1.3742718,8.968679,0.047884032
android.sensor.accelerometer,1538418998463,2087966532641463,-1.1779473,8.949526,-0.062249243
android.sensor.accelerometer,1538418998488,2087966551270423,-0.89543146,9.169792,0.11492168
android.sensor.accelerometer,1538418998498,2087966570951779,-0.5602432,9.313444,0.61770403
android.sensor.accelerometer,1538418998522,2087966591164177,-0.81402856,9.141062,0.79966336
android.sensor.accelerometer,1538418998544,2087966612681263,-0.80924016,8.868123,0.60812724
android.sensor.accelerometer,1538418998563,2087966632625327,-1.2258313,8.446744,1.0582372
android.sensor.accelerometer,1538418998582,2087966652226215,-1.6807296,7.551312,1.0247183
android.sensor.accelerometer,1538418998601,2087966672362206,-2.1883004,6.0956373,0.5746084
android.sensor.accelerometer,1538418998619,2087966690499760,-2.5330653,4.271256,0.37828386
android.sensor.accelerometer,1538418998638,2087966710412106,-2.8443117,2.3175871,0.38307226
android.sensor.accelerometer,1538418998663,2087966730823149,-3.5482068,0.51714754,1.3551182
android.sensor.accelerometer,1538418998682,2087966749971537,-4.1132383,-1.0199299,2.719813
android.sensor.accelerometer,1538418998704,2087966769866955,-4.9176903,-2.360683,4.098873
android.sensor.accelerometer,1538418998723,2087966790466801,-5.568913,-4.280833,5.947197
android.sensor.accelerometer,1538418998741,2087966809827584,-5.741296,-6.1243677,7.7811556
android.sensor.accelerometer,1538418998758,2087966829692274,-5.085284,-7.6470804,8.1881695
android.sensor.accelerometer,1538418998781,2087966849584047,-3.8642416,-8.825027,8.619126
android.sensor.accelerometer,1538418998798,2087966869475090,-2.7581203,-11.233594,10.879252
android.sensor.accelerometer,1538418998820,2087966889378217,-1.3503298,-15.064317,13.254301
android.sensor.accelerometer,1538418998837,2087966909231657,1.9440918,-19.565416,15.222335
android.sensor.accelerometer,1538418998858,2087966929147648,9.471462,-26.628311,14.762648
android.sensor.accelerometer,1538418998877,2087966949004630,24.578875,-34.06949,9.275137
android.sensor.accelerometer,1538418998899,2087966968939267,38.580166,-36.77015,5.3103395
android.sensor.accelerometer,1538418998918,2087966988804113,43.507435,-39.331947,3.2561142
android.sensor.accelerometer,1538418998938,2087967008687656,46.25119,-41.405323,-4.146757
android.sensor.accelerometer,1538418998958,2087967028581044,54.55428,-34.09822,-14.403518
android.sensor.accelerometer,1538418998979,2087967048460108,60.4919,-21.605276,-27.241226
