Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1538418968472,2087936520303316,-0.028763017,0.040481284,-0.0010652969
android.sensor.gyroscope,1538418968486,2087936540216235,-0.011718267,-0.018110048,-0.009587673
android.sensor.gyroscope,1538418968487,2087936559880247,-0.022371236,-0.012783563,-0.023436533
android.sensor.gyroscope,1538418968507,2087936579955197,0.018110048,-0.0074570784,-0.0085223755
android.sensor.gyroscope,1538418968529,2087936599873324,0.07670138,-0.039415985,0.0010652969
android.sensor.gyroscope,1538418968547,2087936619754732,0.04793836,0.012783563,-0.023436533
android.sensor.gyroscope,1538418968566,2087936639660932,0.01384886,0.07137489,-0.02769772
android.sensor.gyroscope,1538418968587,2087936659312757,0.02130594,0.070309594,-0.0031958907
android.sensor.gyroscope,1538418968606,2087936679384842,0.054330144,-0.015979454,-0.018110048
android.sensor.gyroscope,1538418968626,2087936699149324,0.064983115,-0.067113705,-0.025567126
android.sensor.gyroscope,1538418968665,2087936719159274,0.04900366,-0.040481284,-0.015979454
android.sensor.gyroscope,1538418968686,2087936738900838,0.012783563,0.022371236,-0.012783563
android.sensor.gyroscope,1538418968693,2087936758749642,0.02769772,0.011718267,-0.011718267
android.sensor.gyroscope,1538418968708,2087936778631467,0.036220096,-0.036220096,-0.025567126
android.sensor.gyroscope,1538418968725,2087936798522771,0.0042611877,-0.063917816,-0.02769772
android.sensor.gyroscope,1538418968745,2087936818650533,-0.0031958907,-0.08628905,-0.017044751
android.sensor.gyroscope,1538418968765,2087936838439233,-0.02450183,-0.05113425,-0.02450183
android.sensor.gyroscope,1538418968785,2087936858331787,-0.040481284,-0.0031958907,-0.039415985
android.sensor.gyroscope,1538418968805,2087936878244862,0.045807768,-0.20240642,-0.09587672
android.sensor.gyroscope,1538418968827,2087936898156062,0.12357444,-0.6881818,-0.27271602
android.sensor.gyroscope,1538418968845,2087936918001272,0.005326485,-0.9321348,-0.46446946
android.sensor.gyroscope,1538418968865,2087936937996743,0.015979454,-0.82027864,-0.63385165
android.sensor.gyroscope,1538418968885,2087936957817839,0.4506206,-1.1100394,-0.7808626
android.sensor.gyroscope,1538418968905,2087936977522841,1.0248157,-2.0112805,-0.9726161
android.sensor.gyroscope,1538418968927,2087936997678051,1.510591,-3.0329003,-1.1505207
android.sensor.gyroscope,1538418968946,2087937017463366,1.9814523,-3.7807388,-1.4583915
android.sensor.gyroscope,1538418968966,2087937037458941,2.1795976,-3.7221475,-1.6437532
android.sensor.gyroscope,1538418968984,2087937057279359,1.8781185,-2.859257,-1.5809007
android.sensor.gyroscope,1538418969004,2087937077124466,1.1835449,-2.3308697,-1.3497312
android.sensor.gyroscope,1538418969025,2087937097163478,0.8905882,-2.6760259,-0.9406572
android.sensor.gyroscope,1538418969044,2087937116745459,0.6881818,-2.819841,-0.1043991
android.sensor.gyroscope,1538418969064,2087937136893430,0.4857754,-2.3841345,1.0599705
android.sensor.gyroscope,1538418969084,2087937156754161,0.33024204,-1.8738573,2.1785321
android.sensor.gyroscope,1538418969105,2087937176767236,0.2801731,-1.6075331,3.0307698
android.sensor.gyroscope,1538418969125,2087937196300831,0.7041613,-1.5894231,3.6113565
android.sensor.gyroscope,1538418969144,2087937216180938,1.5393541,-1.4775668,4.0736957
android.sensor.gyroscope,1538418969163,2087937236092554,2.425681,-0.9694202,4.654282
android.sensor.gyroscope,1538418969183,2087937256219014,2.9157176,-0.37498453,5.313701
android.sensor.gyroscope,1538418969203,2087937276107923,3.1937602,0.07989727,6.022124
android.sensor.gyroscope,1538418969224,2087937295873341,3.5431776,0.49962425,6.6889997
android.sensor.gyroscope,1538418969243,2087937315879281,3.7775428,1.3806248,7.235497
android.sensor.gyroscope,1538418969263,2087937335783085,3.9511864,2.3734815,7.7010317
android.sensor.gyroscope,1538418969283,2087937355687722,4.3645215,2.8134491,8.019555
android.sensor.gyroscope,1538418969303,2087937375561266,4.300604,3.634793,7.795843
android.sensor.gyroscope,1538418969322,2087937395410747,5.3712273,3.3056164,6.853055
android.sensor.gyroscope,1538418969345,2087937415387155,7.215256,0.6988348,5.8069334
android.sensor.gyroscope,1538418969363,2087937435106011,7.76708,0.088419646,5.0037
android.sensor.gyroscope,1538418969382,2087937455110545,7.578522,2.3415227,4.272906
android.sensor.gyroscope,1538418969402,2087937475023411,6.116935,3.8648973,3.293898
android.sensor.gyroscope,1538418969422,2087937494625861,4.7043514,3.2022827,1.998497
android.sensor.gyroscope,1538418969446,2087937515330082,5.4234266,1.9857135,0.43144527
android.sensor.gyroscope,1538418969468,2087937536541438,5.8804393,2.2435153,-0.7680791
android.sensor.gyroscope,1538418969486,2087937556435867,4.9099536,2.8368857,-1.9953011
android.sensor.gyroscope,1538418969508,2087937576367015,5.126209,1.8173965,-3.0520756
android.sensor.gyroscope,1538418969528,2087937596207538,5.241261,0.6551576,-3.9554474
android.sensor.gyroscope,1538418969542,2087937614394206,4.3506727,0.50282013,-4.588234
android.sensor.gyroscope,1538418969568,2087937635983896,3.637989,0.29402196,-5.0068955
android.sensor.gyroscope,1538418969588,2087937655874158,3.5591571,-0.5230608,-5.5193033
android.sensor.gyroscope,1538418969605,2087937675768119,3.4995005,-1.13028,-5.9837728
android.sensor.gyroscope,1538418969624,2087937695646194,3.150083,-0.8266704,-6.2192035
android.sensor.gyroscope,1538418969647,2087937715567862,2.8113186,-0.24501829,-6.0189276
android.sensor.gyroscope,1538418969668,2087937735425937,2.7676415,-0.017044751,-5.5981355
android.sensor.gyroscope,1538418969687,2087937755315731,3.0254433,-0.4538165,-5.324354
android.sensor.gyroscope,1538418969707,2087937775215993,3.2630045,-1.571313,-5.3925333
android.sensor.gyroscope,1538418969727,2087937795087141,3.1660626,-2.1646833,-5.151776
android.sensor.gyroscope,1538418969747,2087937814991258,2.4469872,-1.2847481,-4.7022204
android.sensor.gyroscope,1538418969767,2087937834863916,1.9164692,-0.12357444,-4.2888856
android.sensor.gyroscope,1538418969782,2087937853034491,1.7129974,0.75742614,-3.785
android.sensor.gyroscope,1538418969807,2087937875471107,1.8173965,-0.043677174,-3.8478525
android.sensor.gyroscope,1538418969826,2087937894461005,2.0634801,-2.1082227,-3.7604983
android.sensor.gyroscope,1538418969845,2087937914420695,2.2690825,-3.4206684,-3.3034859
android.sensor.gyroscope,1538418969865,2087937934318613,2.263756,-3.0190516,-2.759119
android.sensor.gyroscope,1538418969887,2087937954191532,2.2115564,-1.9505587,-2.1657486
android.sensor.gyroscope,1538418969903,2087937973458097,2.0112805,-1.348666,-1.8003519
android.sensor.gyroscope,1538418969919,2087937992139453,2.1284633,-1.5574641,-1.3657106
android.sensor.gyroscope,1538418969944,2087938013539767,2.3415227,-2.1923811,-0.79471153
android.sensor.gyroscope,1538418969966,2087938033524196,2.2808008,-2.4853377,-0.33663383
android.sensor.gyroscope,1538418969986,2087938053635708,1.5691824,-2.0443048,0.09374613
android.sensor.gyroscope,1538418970005,2087938073369356,0.46766534,-1.4583915,0.45914298
android.sensor.gyroscope,1538418970025,2087938093393160,-0.36433154,-1.5233747,0.6668759
android.sensor.gyroscope,1538418970043,2087938111424256,-0.88313115,-1.9452322,0.8053645
android.sensor.gyroscope,1538418970063,2087938132957800,-1.2432015,-2.0048888,1.0695581
android.sensor.gyroscope,1538418970082,2087938152904052,-1.2868787,-1.9505587,1.610729
android.sensor.gyroscope,1538418970101,2087938172699262,-1.0344033,-2.2286012,2.3585675
android.sensor.gyroscope,1538418970122,2087938191543431,-1.0258809,-2.6355445,3.1863031
android.sensor.gyroscope,1538418970142,2087938210835516,-1.7428257,-2.6536546,4.0779567
android.sensor.gyroscope,1538418970158,2087938230561872,-2.9370236,-2.368155,5.370162
android.sensor.gyroscope,1538418970178,2087938250642811,-4.237751,-2.20623,6.946801
android.sensor.gyroscope,1538418970198,2087938270536511,-5.3158317,-3.2203927,8.440348
android.sensor.gyroscope,1538418970218,2087938290411878,-6.2202687,-4.613801,10.053207
android.sensor.gyroscope,1538418970238,2087938310312922,-6.750787,-5.3105054,11.626651
android.sensor.gyroscope,1538418970260,2087938330080163,-9.113615,-5.1294045,13.504769
android.sensor.gyroscope,1538418970277,2087938350059228,-11.955828,-4.764008,12.328681
android.sensor.gyroscope,1538418970297,2087938369687771,-6.776354,-3.9149663,8.266705
android.sensor.gyroscope,1538418970317,2087938389572200,-1.0514481,-1.5947496,4.7586813
android.sensor.gyroscope,1538418970337,2087938409662619,-4.7182,3.0147903,4.2526655
android.sensor.gyroscope,1538418970362,2087938431442413,-6.1702,4.760812,3.4323866
android.sensor.gyroscope,1538418970381,2087938449497050,-3.3780565,1.4285632,2.5886714
android.sensor.gyroscope,1538418970400,2087938469380489,-0.2077329,-1.1036476,2.1891851
android.sensor.gyroscope,1538418970419,2087938489271481,0.3504827,-0.90869826,1.3401436
android.sensor.gyroscope,1538418970440,2087938510845389,0.043677174,-0.92680836,1.1153659
